code,description,icon,value,unit,size,legacy_code,legacy_description,type,target_model
A4,Kapeneva tie,A4.svg,,,,121,Kapeneva tie,,traffic_sign
A5,Kaksisuuntainen liikenne,A5.svg,,,,122,Kaksisuuntainen liikenne,,traffic_sign
A6,Avattava silta,A6.svg,,,,131,Avattava silta,,traffic_sign
A7,"Lautta, laituri tai ranta",A7.svg,,,,132,"Lautta, laituri tai ranta",,traffic_sign
A8,Liikenneruuhka,A8.svg,,,,133,Liikenneruuhka,,traffic_sign
A8_2,Liikenneruuhka,A8_2.svg,,,,,,,traffic_sign
A9,Epätasainen tie,A9.svg,,,,141,Epätasainen tie,,traffic_sign
B1,Etuajo-oikeutettu tie,B1.svg,,,,211,Etuajo- oikeutettu tie,,traffic_sign
B2,Etuajo-oikeuden päättyminen,B2.svg,,,,212,Etuajo-oikeuden päättyminen,,traffic_sign
B3,Etuajo-oikeus kohdattaessa,B3.svg,,,,221,Etuajo-oikeus kohdatessa,,traffic_sign
B4,Väistämisvelvollisuus kohdattaessa,B4.svg,,,,222,Väistämisvelvollisuus kohdattaessa,,traffic_sign
B5,Väistämisvelvollisuus risteyksessä,B5.svg,,,,231,Väistämisvelvollisuus risteyksessä,,traffic_sign
B6,Pakollinen pysäyttäminen,B6.svg,,,,232,Pakollinen pysäyttäminen,,traffic_sign
B7,Väistämisvelvollisuus pyöräilijän tienylityspaikassa,B7.svg,,,,,,,traffic_sign
B7_2,Väistämisvelvollisuus pyöräilijän tienylityspaikassa,B7_2.svg,,,,,,,traffic_sign
C1,Ajoneuvolla ajo kielletty,C1.svg,,,,311,Ajoneuvolla ajo kielletty,,traffic_sign
C10,Mopolla ajo kielletty,C10.svg,,,,321,Mopolla ajo kielletty,,traffic_sign
C11,Polkupyörällä ajo kielletty,C11.svg,,,,,-,,traffic_sign
C12,Polkupyörällä ja mopolla ajo kielletty,C12.svg,,,,322,Polkupyörällä ja mopolla ajo kielletty,,traffic_sign
C13,Jalankulku kielletty,C13.svg,,,,323,Jalankulku kielletty,,traffic_sign
C14,Jalankulku ja polkupyörällä ajo kielletty,C14.svg,,,,,,,traffic_sign
C15,Jalankulku ja polkupyörällä ja mopolla ajo kielletty,C15.svg,,,,324,Jalankulku sekä polkupyörällä ja mopolla ajo kielletty,,traffic_sign
C16,Ratsastus kielletty,C16.svg,,,,325,Ratsastus kielletty,,traffic_sign
C17,Kielletty ajosuunta,C17.svg,,,,3311,Kielletty ajosuunta,,traffic_sign
C18,Vasemmalle kääntyminen kielletty,C18.svg,,,,332,Vasemmalle kääntyminen kielletty,,traffic_sign
C19,Oikealle kääntyminen kielletty,C19.svg,,,,333,Oikealle kääntyminen kielletty,,traffic_sign
C2,Moottorikäyttöisellä ajoneuvolla ajo kielletty,C2.svg,,,,312,Moottorikäyttöisellä ajoneuvolla ajo kielletty,,traffic_sign
C20,U-käännös kielletty,C20.svg,,,,334,U-käännös kielletty,,traffic_sign
C21,"Ajoneuvon suurin sallittu leveys  2,2 m",C21.svg,2.2,metri,,341,Ajoneuvon suurin sallittu leveys,,traffic_sign
C21_2,"Ajoneuvon suurin sallittu leveys  2,0 m",C21_2.svg,2,metri,,,,,traffic_sign
C21_3,"Ajoneuvon suurin sallittu leveys  2,1 m",C21_3.svg,2.1,metri,,,,,traffic_sign
C21_4,"Ajoneuvon suurin sallittu leveys  2,3 m",C21_4.svg,2.3,metri,,,,,traffic_sign
C21_5,"Ajoneuvon suurin sallittu leveys  2,4 m",C21_5.svg,2.4,metri,,,,,traffic_sign
C21_6,"Ajoneuvon suurin sallittu leveys  2,5 m",C21_6.svg,2.5,metri,,,,,traffic_sign
C22,"Ajoneuvon suurin sallittu korkeus  3,5 m",C22.svg,3.5,metri,,342,Ajoneuvon suurin sallittu korkeus,,traffic_sign
C22_10,"Ajoneuvon suurin sallittu korkeus  2,8 m",C22_10.svg,2.8,metri,,,,,traffic_sign
C22_11,"Ajoneuvon suurin sallittu korkeus  2,9 m",C22_11.svg,2.9,metri,,,,,traffic_sign
C22_12,"Ajoneuvon suurin sallittu korkeus  3,0 m",C22_12.svg,3,metri,,,,,traffic_sign
C22_13,"Ajoneuvon suurin sallittu korkeus  3,1 m",C22_13.svg,3.1,metri,,,,,traffic_sign
C22_14,"Ajoneuvon suurin sallittu korkeus  3,2 m",C22_14.svg,3.2,metri,,,,,traffic_sign
C22_15,"Ajoneuvon suurin sallittu korkeus  3,3 m",C22_15.svg,3.3,metri,,,,,traffic_sign
C22_16,"Ajoneuvon suurin sallittu korkeus  3,4 m",C22_16.svg,3.4,metri,,,,,traffic_sign
C22_17,"Ajoneuvon suurin sallittu korkeus  3,6 m",C22_17.svg,3.6,metri,,,,,traffic_sign
C22_18,"Ajoneuvon suurin sallittu korkeus  3,7 m",C22_18.svg,3.7,metri,,,,,traffic_sign
C22_19,"Ajoneuvon suurin sallittu korkeus  3,8 m",C22_19.svg,3.8,metri,,,,,traffic_sign
C22_2,"Ajoneuvon suurin sallittu korkeus  2,0 m",C22_2.svg,2,metri,,,,,traffic_sign
C22_20,"Ajoneuvon suurin sallittu korkeus  3,9 m",C22_20.svg,3.9,metri,,,,,traffic_sign
C22_21,"Ajoneuvon suurin sallittu korkeus  4,0 m",C22_21.svg,4,metri,,,,,traffic_sign
C22_22,"Ajoneuvon suurin sallittu korkeus  4,1 m",C22_22.svg,4.1,metri,,,,,traffic_sign
C22_23,"Ajoneuvon suurin sallittu korkeus  4,2 m",C22_23.svg,4.2,metri,,,,,traffic_sign
C22_24,"Ajoneuvon suurin sallittu korkeus  4,3 m",C22_24.svg,4.3,metri,,,,,traffic_sign
C22_25,"Ajoneuvon suurin sallittu korkeus  4,4 m",C22_25.svg,4.4,metri,,,,,traffic_sign
C22_3,"Ajoneuvon suurin sallittu korkeus  2,1 m",C22_3.svg,2.1,metri,,,,,traffic_sign
C22_4,"Ajoneuvon suurin sallittu korkeus  2,2 m",C22_4.svg,2.2,metri,,,,,traffic_sign
C22_5,"Ajoneuvon suurin sallittu korkeus  2,3 m",C22_5.svg,2.3,metri,,,,,traffic_sign
C22_6,"Ajoneuvon suurin sallittu korkeus  2,4 m",C22_6.svg,2.4,metri,,,,,traffic_sign
C22_7,"Ajoneuvon suurin sallittu korkeus  2,5 m",C22_7.svg,2.5,metri,,,,,traffic_sign
