code,description,icon,value,unit,size,legacy_code,legacy_description,type,target_model
D3.3,Liikenteenjakaja molemmin puolin,D3.3.svg,,,,418,Liikenteenjakaja,,traffic_sign
D3.3_2,Liikenteenjakaja,D3.3_2.svg,,,,,,,traffic_sign
D4,Jalkakäytävä,D4.svg,,,,421,Jalkakäytävä,,traffic_sign
D5,Pyörätie,D5.svg,,,,422,Pyörätie,,traffic_sign
D6,Yhdistetty pyörätie ja jalkakäytävä,D6.svg,,,,423,Yhditetty pyörätie ja jalkakäytävä,,traffic_sign
D7.1,"Pyörätie ja jalkakäytävä rinnakkain, pyörätie vasemmalla",D7.1.svg,,,,424,Pyörätie ja jalkakäytävä rinnakkain,,traffic_sign
D7.2,"Pyörätie ja jalkakäytävä rinnakkain, pyörätie oikealla",D7.2.svg,,,,425,Pyörätie ja jalkakäytävä rinnakkain,,traffic_sign
D8,Moottorikelkkailureitti,D8.svg,,,,426,Moottorikelkkailureitti,,traffic_sign
D9,Ratsastustie,D9.svg,,,,427,Ratsastustie,,traffic_sign
E1,Suojatie,E1.svg,,,,5111,Suojatie,,traffic_sign
E10.1,Linja-autokaista päättyy,E10.1.svg,,,,,Linja-autokaista päättyy,,traffic_sign
E10.2,Linja-autokaista päättyy,E10.2.svg,,,,,Linja-autokaista päättyy,,traffic_sign
E11.1,Raitiovaunukaista,E11.1.svg,,,,,Raitiovaunukaista,,traffic_sign
E11.2,Raitiovaunukaista,E11.2.svg,,,,,Raitiovaunukaista,,traffic_sign
E1_2,Suojatie,,,,,5112,,,traffic_sign
E12.1,Raitiovaunukaista päättyy,E12.1.svg,,,,,Raitiovaunukaista päättyy,,traffic_sign
E12.2,Raitiovaunukaista päättyy,E12.2.svg,,,,,Raitiovaunukaista päättyy,,traffic_sign
E13.1,Pyöräkaista,E13.1.svg,,,,,,,traffic_sign
E13.2,Pyöräkaista,E13.2.svg,,,,,,,traffic_sign
E14.1,Yksisuuntainen tie,E14.1.svg,,,,,Yksisuuntainen tie,,traffic_sign
E14.2,"Yksisuuntainen tie, vasen",E14.2.svg,,,,,,,traffic_sign
E14.2_1,"Yksisuuntainen tie, oikea",,,,,,,,traffic_sign
E15,Moottoritie,E15.svg,,,,,Moottoritie,,traffic_sign
E15_2,Moottoritie,E15_2.svg,,,,,,,traffic_sign
E16,Moottoritie päättyy,E16.svg,,,,,Moottoritie päättyy,,traffic_sign
E16_2,Moottoritie päättyy,E16_2.svg,,,,,,,traffic_sign
E17,Moottoriliikennetie,E17.svg,,,,,Moottoriliikennetie,,traffic_sign
E17_2,Moottoriliikennetie,E17_2.svg,,,,,,,traffic_sign
E18,Moottoriliikennetie päättyy,E18.svg,,,,,Moottoriliikennetie päättyy,,traffic_sign
E18_2,Moottoriliikennetie päättyy,E18_2.svg,,,,,,,traffic_sign
E19,Tunneli,E19.svg,,,,,Tunneli,,traffic_sign
E19p,Tunneli,,,,S,,,,traffic_sign
E2,Pysäköintipaikka,E2.svg,,,,,Pysäköintipaikka,,traffic_sign
E20,Tunneli päättyy,E20.svg,,,,,Tunneli päättyy,,traffic_sign
E20p,Tunneli päättyy,,,,S,,,,traffic_sign
E21,Hätäpysäyttämispaikka,E21.svg,,,,,Hätäpysäyttämispaikka,,traffic_sign
E2_2,Pysäköintipaikka,E2_2.svg,,,,,,,traffic_sign
E22,Taajama,E22.svg,,,,5711,Taajama,,traffic_sign
E2_3,Pysäköintipaikka,E2_3.svg,,,,,,,traffic_sign
E23,Taajama päättyy,E23.svg,,,,5721,Taajama päättyy,,traffic_sign
E2_4,Pysäköintipaikka,E2_4.svg,,,,,,,traffic_sign
E24,Pihakatu,E24.svg,,,,,Pihakatu,,traffic_sign
E2_5,Pysäköintipaikka,E2_5.svg,,,,,,,traffic_sign
E25,Pihakatu päättyy,E25.svg,,,,,Pihakatu päättyy,,traffic_sign
E2_6,Pysäköintipaikka,E2_6.svg,,,,,,,traffic_sign
E26,Kävelykatu,E26.svg,,,,,Kävelykatu,,traffic_sign
E2_7,Pysäköintipaikka,E2_7.svg,,,,,,,traffic_sign
E27,Kävelykatu päättyy,E27.svg,,,,576,Kävelykatu päättyy,,traffic_sign
E28,Pyöräkatu,E28.svg,,,,,,,traffic_sign
E2_9,"Pysäköintipaikka, katettu",,,,,,,,traffic_sign
E29,Pyöräkatu päättyy,E29.svg,,,,,,,traffic_sign
E30,Ajokaistojen yhdistyminen,E30.svg,,,,,,,traffic_sign
E3.1,"Liityntäpysäköintipaikka, juna",E3.1.svg,,,,5201,Liityntäpysäköintipaikka,,traffic_sign
E3.2,"Liityntäpysäköintipaikka, linja-auto",E3.2.svg,,,,,Liityntäpysäköintipaikka,,traffic_sign
E3.3,"Liityntäpysäköintipaikka, raitiovaunu",E3.3.svg,,,,,Liityntäpysäköintipaikka,,traffic_sign
E3.4,"Liityntäpysäköintipaikka, metro",E3.4.svg,,,,5203,,,traffic_sign
E3.5,"Liityntäpysäköintipaikka, joukkoliikenne",E3.5.svg,,,,,,,traffic_sign
E4.1,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1.svg,,,,52111,"Ajoneuvojen sijoitus pysäköintipaikalla, eri suunnat",,traffic_sign
E4.1_10,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,,,,,,,,traffic_sign
E4.1_11,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,,,,,,,,traffic_sign
E4.1_2,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_2.svg,,,,52113,,,traffic_sign
E4.1_3,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_3.svg,,,,52117,,,traffic_sign
E4.1_4,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_4.svg,,,,52118,,,traffic_sign
E4.1_5,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_5.svg,,,,52121,,,traffic_sign
E4.1_5_1,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_5_1.svg,,,,52124,,,traffic_sign
E4.1_5_2,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_5_2.svg,,,,52122,,,traffic_sign
E4.1_5_3,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_5_3.svg,,,,52123,,,traffic_sign
E4.1_6,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_6.svg,,,,52112,,,traffic_sign
E4.1_7,Ajoneuvojen sijoitus pysäköintipaikalla suoraan,E4.1_7.svg,,,,52114,,,traffic_sign
E4.2,Ajoneuvojen sijoitus pysäköintipaikalla vastakkain,E4.2.svg,,,,52151,"Ajoneuvojen sijoitus pysäköintipaikalla, eri suunnat",,traffic_sign
E4.2_1,Ajoneuvojen sijoitus pysäköintipaikalla vastakkain,E4.2_1.svg,,,,52152,,,traffic_sign
E4.3,Ajoneuvojen sijoitus pysäköintipaikalla vinoon,E4.3.svg,,,,52131,,,traffic_sign
E4.3_2,Ajoneuvojen sijoitus pysäköintipaikalla vinoon,E4.3_2.svg,,,,52134,"Ajoneuvojen sijoitus pysäköintipaikalla, eri suunnat",,traffic_sign
E4.3_3,Ajoneuvojen sijoitus pysäköintipaikalla vinoon,E4.3_3.svg,,,,52157,,,traffic_sign
E4.3_3_1,Ajoneuvojen sijoitus pysäköintipaikalla vinoon,E4.3_3_1.svg,,,,,,,traffic_sign
E4.3_3_2_1,Ajoneuvojen sijoitus pysäköintipaikalla vinoon,E4.3_4.svg,,,,,,,traffic_sign
E4.3_3_2_2,Ajoneuvojen sijoitus pysäköintipaikalla vinoon,E4.3_5.svg,,,,,,,traffic_sign
E5,Kohtaamispaikka,E5.svg,,,,,Kohtaamispaikka,,traffic_sign
E6,Linja-autopysäkki,E6.svg,,,,5311,Paikallisliikenteen linja-auton pysäkki,,traffic_sign
E7,Raitiovaunupysäkki,E7.svg,,,,5331,Raitiovaunun pysäkki,,traffic_sign
E8,Taksiasema,E8.svg,,,,,Taksiasema,,traffic_sign
E9.1,Linja-autokaista,E9.1.svg,,,,5411,Linja-autokaista,,traffic_sign
E9.2,Linja-autokaista,E9.2.svg,,,,5412,Linja-autokaista,,traffic_sign
F10,Ajokaistan yläpuolinen viitta ,,,,,632,Ajokaistan yläpuolinen viitta,,signpost
F1.1,Suunnistustaulu ,,,,,611,Suunnistustaulu,,signpost
F11,Ajokaistan yläpuolinen viitta ,,,,,633,Ajokaistan yläpuolinen viitta,,signpost
F1.2,Suunnistustaulu ,,,,,,,,signpost
F12,Ajokaistan yläpuolinen erkanemisviitta ,,,,,,,,signpost
F1.3,Suunnistustaulu ,,,,,,,,signpost
F13,Tienviitta ,,,,,641,Tienviitta,,signpost
F14,Erkanemisviitta ,,,,,642,Erkanemisviitta,,signpost
F15,Kiertotien viitta ,,,,,646,Kiertotien viitta,,signpost
F16,Osoiteviitta ,,,,,644,Osoiteviitta,,signpost
F17,Osoiteviitan ennakkomerkki ,,,,,,,,signpost
F18.1,Liityntäpysäköintiviitta ,,,,,650,Liityntäpysäköintiviitta,,signpost
F18.2,Liityntäpysäköintiviitta ,,,,,,,,signpost
F18.3,Liityntäpysäköintiviitta ,,,,,,,,signpost
F18.4,Liityntäpysäköintiviitta ,,,,,,,,signpost
F18.5,Liityntäpysäköintiviitta ,,,,,,,,signpost
F19,Jalankulun viitta ,,,,,645,Kevyen liikenteen viitta,,signpost
F20.1,Pyöräilyn viitta ,,,,,645,Kevyen liikenteen viitta,,signpost
F20.2,Pyöräilyn viitta ,,,,,645,Kevyen liikenteen viitta,,signpost
F2.1,Suunnistustaulu ,,,,,612,Suunnistustaulu,,signpost
F21.1,Pyöräilyn suunnistustaulu ,,,,,,,,signpost
F21.2,Pyöräilyn suunnistustaulu ,,,,,,,,signpost
F2.2,Suunnistustaulu ,,,,,,,,signpost
F22,Pyöräilyn etäisyystaulu ,,,,,,,,signpost
F2.3,Suunnistustaulu ,,,,,,,,signpost
F23,Pyöräilyn paikannimi ,,,,,,,,signpost
F24.1,Umpitie edessä,,,,,6511,,,signpost
F24.2,Umpitie,,,,,652,Umpitie,,signpost
F24.3,Umpitie,,,,,6512,,,signpost
F24.31,Umpitie,,,,,6513,,,signpost
F25,Enimmäisnopeussuositus ,,,,,653,Enimmäisnopeussuositus,,signpost
F26,Etäisyystaulu ,,,,,661,Etäisyystaulu,,signpost
F27.1,Paikannimi ,,,,,662,Paikannimi,,signpost
F27.2,Paikannimi ,,,,,,,,signpost
F28,Kansainvälisen pääliikenneväylän numero ,,,,,663,Kansainvälisen pääliikenneväylän numero,,signpost
F29,Valtatien numero ,,,,,664,Valtatien numero,,signpost
F3,Ajokaistakohtainen suunnistustaulu ,,,,,,,,signpost
F30,Kantatien numero ,,,,,665,Kantatien numero,,signpost
F31,Seututien numero,,,,,665a,Seututien numero,,signpost
F32,Muun maantien numero ,,,,,666,Muun yleisen tien numero,,signpost
F33,Kehätien numero ,,,,,,,,signpost
F34,Eritasoliittymän numero ,,,,,,,,signpost
F35,Opastus numeron tarkoittamalle tielle ,,,,,667,Opastus numeron tarkoittamalle tielle,,signpost
F36,Varareitti ,,,,,,,,signpost
F37,Moottoritien tunnus ,,,,,671,Moottoritien tunnus,,signpost
F38,Moottoriliikennetien tunnus ,,,,,672,Moottoriliikennetien tunnus,,signpost
F39,Lentoasema ,,,,,673,Lentoasema,,signpost
F40,Autolautta ,,,,,674,Autolautta,,signpost
F4.1,Kiertotien suunnistustaulu ,,,,,614,Kiertotien suunnistustaulu,,signpost
F41,Matkustajasatama ,,,,,,,,signpost
F4.2,Kiertotien suunnistustaulu ,,,,,,,,signpost
F42,Tavarasatama ,,,,,675,Tavarasatama,,signpost
F43,Tavaraterminaali ,,,,,,,,signpost
F44,Teollisuusalue tai yritysalue ,,,,,676,Teollisuusalue,,signpost
F45,Vähittäiskaupan suuryksikkö ,,,,,,,,signpost
F46.1,Pysäköinti,,,,,677,Pysäköinti,,signpost
F46.2,Pysäköinti,,,,,,,,signpost
F47,Rautatieasema ,,,,,678,Rautatieasema,,signpost
F48,Linja-autoasema ,,,,,679,Linja-autoasema,,signpost
F49,Keskusta ,,,,,,,,signpost
F5,Kiertotieopastus ,,,,,615,Kiertotieopastus,,signpost
F50,Tietylle ajoneuvolle tarkoitettu reitti,,,,,681,Kulkuneuvolle tarkoitettu reitti,,signpost
F51,Vaarallisten aineiden kuljetukselle tarkoitettu reitti ,,,,,684,Vaarallisten aineiden kuljetuksille tarkoitettu reitti,,signpost
F52,Jalankulkijalle tarkoitettu reitti ,,,,,682,Jalankulkijoille tarkoitettu reitti,,signpost
F53,Esteetön reitti ,,,,,683,Vammaiselle tarkoitettu reitti,,signpost
F54.1,"Reitti, jolla on portaat ",,,,,685,"Reitti, jolla on portaat",,signpost
F54.2,"Reitti, jolla on portaat ",,,,,,,,signpost
F55.1,Reitti ilman portaita ,,,,,686,"Reitti, ilman portaita",,signpost
F55.2,Reitti ilman portaita ,,,,,,,,signpost
F55.3,Reitti ilman portaita ,,,,,,,,signpost
F55.4,Reitti ilman portaita ,,,,,,,,signpost
F56.1,Hätäuloskäynti ,,,,,690,Hätäuloskäynti,,signpost
F56.2,Hätäuloskäynti ,,,,,,,,signpost
F57.1,Poistumisreitti ,,,,,691,Poistumisreitti,,signpost
F57.2,Poistumisreitti ,,,,,,,,signpost
F6,Ajoreittiopastus ,,,,,616,Ajoreittiopastus,,signpost
F7.1,Ajokaistaopastus ,,,,,621,Ajokaistaopastus,,signpost
F7.2,Ajokaistaopastus ,,,,,622,Ajokaistaopastus,,signpost
F7.3,Ajokaistaopastus ,,,,,,,,signpost
F7.4,Ajokaistaopastus ,,,,,,,,signpost
F7.5,Ajokaistaopastus ,,,,,,,,signpost
F7.6,Ajokaistaopastus ,,,,,,,,signpost
F8.1,Ajokaistan päättyminen ,,,,,623,Ajokaistan päättyminen,,signpost
F8.2,Ajokaistan päättyminen ,,,,,631,Ajokaistan yläpuolinen viitta,,signpost
F9,Viitoituksen koontimerkki ,,,,,,,,signpost
G1,Palvelukohteen opastustaulu ,,,,,701,Palvelukohteen opastustaulu,,signpost
G10,Autokorjaamo ,,,,,721,Autokorjaamo,,signpost
G11.1,"Polttoaineen jakelu, Bensiini tai etanoli",,,,,722,Huoltoasema,,signpost
G11.2,"Polttoaineen jakelu, paineistettu kaasu",,,,,,,,signpost
G11.3,"Polttoaineen jakelu, sähkö",,,,,,,,signpost
G11.4,"Polttoaineen jakelu, vety",,,,,,,,signpost
G12,Hotelli tai motelli,,,,,723,Hotelli tai motelli,,signpost
G13,Ruokailupaikka ,,,,,724,Ruokailupaikka,,signpost
G14,Kahvila tai pikaruokapaikka ,,,,,725,Kahvila tai pikaruokapaikka,,signpost
G15,Käymälä ,,,,,726,Käymälä,,signpost
G16,Retkeilymaja ,,,,,731,Retkeilymaja,,signpost
G17,Leirintäalue,,,,,733,Leirintäalue,,signpost
G18,Matkailuajoneuvoalue ,,,,,734,Matkailuajoneuvoalue,,signpost
G19,Levähdysalue ,,,,,741,Levähdysalue,,signpost
G2,Palvelukohteen opastustaulu ,,,,,702,Palvelukohteen opastustaulu,,signpost
G20,Ulkoilualue ,,,,,742,Ulkoilualue,,signpost
G21,Hätäpuhelin ,,,,,791,Hätäpuhelin,,signpost
G22,Sammutin ,,,,,792,Sammutin,,signpost
G23,Museo tai historiallinen rakennus ,,,,,772a,Museo tai historiallinen rakennus,,signpost
G24,Maailmanperintökohde ,,,,,772b,Maailmanperintökohde,,signpost
G25,Luontokohde ,,,,,772c,luonnonkohde,,signpost
G26,Näköalapaikka ,,,,,772d,Näköalapaikka,,signpost
G27,Eläintarha tai –puisto ,,,,,772e,Eläintarha tai -puisto,,signpost
G28,Muu nähtävyys ,,,,,772f,Muu nähtävyys,,signpost
G29,Uintipaikka ,,,,,773a,Uintipaikka,,signpost
G3,Palvelukohteen erkanemisviitta ,,,,,703,Palvelukohteen erkanemisviitta,,signpost
G30,Kalastuspaikka ,,,,,773b,Kalastuspaikka,,signpost
G31,Hiihtohissi ,,,,,773c,Hiihtohissi,,signpost
G32,Maastohiihtokeskus ,,,,,,,,signpost
G33,Golfkenttä ,,,,,773d,Golfkenttä,,signpost
G34,Huvi- ja teemapuisto ,,,,,773e,Huvi- tai teemapuisto,,signpost
G35,Mökkimajoitus ,,,,,774a,Mökkimajoitus,,signpost
G36,Aamiaismajoitus ,,,,,744b,Aamiaismajoitus,,signpost
G37,Suoramyyntipaikka ,,,,,744c,Suoramyyntipaikka,,signpost
G38,Käsityöpaja ,,,,,744d,Käsityöpaja,,signpost
G39,Kotieläinpiha ,,,,,744e,Kotieläinpiha,,signpost
G4,Palvelukohteen osoiteviitta ,,,,,704,Palvelukohteen osoiteviitta,,signpost
G40,Ratsastuspaikka ,,,,,744f,Ratsastuspaikka,,signpost
G41.1,Matkailutie ,,,,,771a,Matkailutie,,signpost
G41.2,Matkailutie ,,,,,771b,Matkailutie,,signpost
G42,Tilapäinen opastusmerkki ,,,,,,,,signpost
G5,Palvelukohteen osoiteviitan ennakkomerkki,,,,,704a,Palvelukohteen osoiteviitan ennakkomerkki,,signpost
G6,Radioaseman taajuus ,,,,,710,Radioaseman taajuus,,signpost
G7,Opastuspiste ,,,,,711,Opastuspiste,,signpost
G8,Opastustoimisto ,,,,,712,Opastustoimisto,,signpost
G9,Ensiapu ,,,,,715,Ensiapu,,signpost
H1,Kohde risteävässä suunnassa,H1.svg,,,,,Kohde risteävällä tiellä,,additional_sign
H10,"Vaikutusalue nuolen suuntaan, oikea",H10.svg,,,,826,Vaikutusalue nuolen suuntaan,,additional_sign
H10_2,"vaikutusalue nuolen suuntaan, vasen",,,,,8261,,,additional_sign
H10_2S,"vaikutusalue nuolen suuntaan, vasen",,,,,,,,additional_sign
H10S,"Vaikutusalue nuolen suuntaan, oikea",H10S.svg,,,,,,,additional_sign
H11,Vaikutusalue päättyy,H11.svg,,,,,Vaikutusalue päättyy,,additional_sign
H11S,Vaikutusalue päättyy,H11S.svg,,,,,,,additional_sign
H1_2,Kohde risteävässä suunnassa,H1_2.svg,,,,,,,additional_sign
H12.1,Henkilöauto,H12.1.svg,,,,,Henkilöauto,,additional_sign
H12.10,Polkupyörä,H12.10.svg,,,,,Polkupyörä,,additional_sign
H12.10_2_2,Polkupyörä,H12.10_2_2.svg,,,,,,,additional_sign
H12.10_2_2S,Polkupyörä,H12.10_2_2s.svg,,,,,,,additional_sign
H12.10_3_2,Polkupyörä,H12.10_3.svg,,,,,,,additional_sign
H12.10_3_2S,Polkupyörä,H12.10_3_2.svg,,,,,,,additional_sign
H12.10_4_2,Polkupyörä,H12.10_4.svg,,,,,,,additional_sign
H12.10_4_2S,Polkupyörä,H12.10_4_2.svg,,,,,,,additional_sign
H12.10S,Polkupyörä,H12.10S.svg,,,,,,,additional_sign
H12.11,Moottorikelkka,H12.11.svg,,,,,,,additional_sign
H12.11_2_2,Moottorikelkka,H12.11_2_2.svg,,,,,,,additional_sign
H12.11_2_2S,Moottorikelkka,H12.11_2_2s.svg,,,,,,,additional_sign
H12.11S,Moottorikelkka,H12.11S.svg,,,,,,,additional_sign
H12.12,Traktori,H12.12.svg,,,,,,,additional_sign
H12.1_2_2,Henkilöauto,H12.1_2_2.svg,,,,,,,additional_sign
H12.12_2_2,Traktori,H12.12_2_2.svg,,,,,,,additional_sign
H12.12_2_2S,Traktori,H12.12_2_2s.svg,,,,,,,additional_sign
H12.1_2_2S,Henkilöauto,H12.1_2_2s.svg,,,,,,,additional_sign
H12.12S,Traktori,H12.12s.svg,,,,,,,additional_sign
H12.1_3,Henkilöauto ja pakettiauto,H12.1_3.svg,,,,,,,additional_sign
H12.13,Vähäpäästöinen ajoneuvo,H12.13.svg,,,,,,,additional_sign
H12.13S,Vähäpäästöinen ajoneuvo,H12.13s.svg,,,,,,,additional_sign
H12.1_3S,Henkilöauto ja pakettiauto,H12.1_3s.svg,,,,,,,additional_sign
H12.1_4_2,Henkilöauto ja pakettiauto,H12.1_4_2.svg,,,,,,,additional_sign
H12.1_4_2S,Henkilöauto ja pakettiauto,H12.1_4_2s.svg,,,,,,,additional_sign
H12.1S,Henkilöauto,H12.1S.svg,,,,,,,additional_sign
H12.2,Linja-auto,H12.2.svg,,,,,Linja-auto,,additional_sign
H12.2_2_2,Linja‐auto,H12.2_2_2.svg,,,,,,,additional_sign
H12.2_2_2S,Linja-auto,H12.2_2_2s.svg,,,,,,,additional_sign
H12.2S,Linja‐auto,H12.2S.svg,,,,,,,additional_sign
H12.3,Kuorma-auto,H12.3.svg,,,,,Kuorma-auto,,additional_sign
H12.3_2_2,Kuorma‐auto,H12.3_2_2.svg,,,,,,,additional_sign
H12.3_2_2S,Kuorma-auto,H12.3_2_2s.svg,,,,,,,additional_sign
H12.3S,Kuorma‐auto,H12.3S.svg,,,,,,,additional_sign
H1_2_4,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H12.4,Pakettiauto,H12.4.svg,,,,,Ajoneuvoyhdistelmä,,additional_sign
H12.4_2_2,Pakettiauto,H12.4_2_2.svg,,,,,,,additional_sign
H12.4_2_2S,Pakettiauto,H12.4_2_2s.svg,,,,,,,additional_sign
H1_2_4S,Kohde risteävässä suunnassa,H1_2_4s.svg,,,,,,,additional_sign
H12.4S,Pakettiauto,H12.4S.svg,,,,,,,additional_sign
H1_2_5,Kohde risteävässä suunnassa,H1_2_5.svg,,,,,,,additional_sign
H12.5,Matkailuperävaunu,H12.5.svg,,,,,Pakettiauto,,additional_sign
H12.5_2_2,Matkailuperävaunu,H12.5_2_2.svg,,,,,,,additional_sign
H12.5_2_2S,Matkailuperävaunu,H12.5_2_2s.svg,,,,,,,additional_sign
H1_2_5S,Kohde risteävässä suunnassa,H1_2_5s.svg,,,,,,,additional_sign
H12.5S,Matkailuperävaunu,H12.5S.svg,,,,,,,additional_sign
H1_2_6,Kohde risteävässä suunnassa,H1_2_6.svg,,,,,,,additional_sign
H12.6,Matkailuauto,H12.6.svg,,,,,Matkailuajoneuvo,,additional_sign
H12.6_2_2,Matkailuauto,H12.6_2_2.svg,,,,,,,additional_sign
H12.6_2_2S,Matkailuauto,H12.6_2_2s.svg,,,,,,,additional_sign
H1_2_6S,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H12.6S,Matkailuauto,H12.6S.svg,,,,,,,additional_sign
H1_2_7,Kohde risteävässä suunnassa,H1_2_7.svg,,,,,,,additional_sign
H12.7,Invalidin ajoneuvo,H12.7.svg,,,,836,Invalidin ajoneuvo,,additional_sign
H12.7_2_2,Invalidin ajoneuvo,H12.7_2_2.svg,,,,,,,additional_sign
H12.7_2_2S,Invalidin ajoneuvo,H12.7_2_2s.svg,,,,,,,additional_sign
H1_2_7S,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H12.7S,Invalidin ajoneuvo,H12.7S.svg,,,,836S,,,additional_sign
H12.8,Moottoripyörä,H12.8.svg,,,,,Moottoripyörä,,additional_sign
H12.8_2_2,Moottoripyörä,H12.8_2_2.svg,,,,,,,additional_sign
H12.8_2_2S,Moottoripyörä,H12.8_2_2s.svg,,,,,,,additional_sign
H12.8S,Moottoripyörä,H12.8S.svg,,,,,,,additional_sign
H12.9,Mopo,H12.9.svg,,,,,Mopo,,additional_sign
H12.9_2_2,Mopo,H12.9_2_2.svg,,,,,,,additional_sign
H12.9_2_2S,Mopo,H12.9_2_2s.svg,,,,,,,additional_sign
H12.9S,Mopo,H12.9S.svg,,,,,,,additional_sign
H1_2S,Kohde risteävässä suunnassa,H1_2s.svg,,,,,,,additional_sign
H1_3,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H13.1,Pysäköintitapa,H13.1.svg,,,,,Pysäköintitapa,,additional_sign
H13.1S,Pysäköintitapa,H13.1_2.svg,,,,,,,additional_sign
H1_3_2,Kohde risteävässä suunnassa,H1_3_2.svg,,,,,,,additional_sign
H13.2,Pysäköintitapa,H13.2.svg,,,,,Pysäköintitapa,,additional_sign
H1_3_2S,Kohde risteävässä suunnassa,H1_3_2s.svg,,,,,,,additional_sign
H13.2S,Pysäköintitapa,,,,,,,,additional_sign
H1_3_3,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H1_3_3S,Kohde risteävässä suunnassa,H1_3_3s.svg,,,,,,,additional_sign
H1_3_4,Kohde risteävässä suunnassa,H1_3_4.svg,,,,,,,additional_sign
H1_3_4S,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H1_3_5,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H1_3_5S,Kohde risteävässä suunnassa,H1_3_5s.svg,,,,,,,additional_sign
H1_3_6,Kohde risteävässä suunnassa,H1_3_6.svg,,,,,,,additional_sign
H1_3_6S,Kohde risteävässä suunnassa,H1_3_6s.svg,,,,,,,additional_sign
H1_3_7,Kohde risteävässä suunnassa,H1_3_7.svg,,,,,,,additional_sign
H1_3_7S,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H1_3S,Kohde risteävässä suunnassa,,,,,,,,additional_sign
H14,Kielto ryhmän A vaarallisten aineiden kuljetukselle,H14.svg,,,,,Läpiajokielto ryhmän A-vaarallisten aineiden kuljetukselle,,additional_sign
H14_9,Kielto ryhmän A vaarallisten aineiden kuljetukselle,H14_9.svg,,,,,,,additional_sign
H15,Kielto ryhmän B vaarallisten aineiden kuljetukselle,H15.svg,,,,,Läpiajokielto ryhmän B-vaarallisten aineiden kuljetukselle,,additional_sign
H15_9,Kielto ryhmän B vaarallisten aineiden kuljetuksille,H15_9.svg,,,,,,,additional_sign
H16,Tunneliluokka,H16.svg,,,,,,,additional_sign
H16_2,Tunneliluokka,H16_2.svg,C,,,,,,additional_sign
H16_3,Tunneliluokka,H16_3.svg,D,,,,,,additional_sign
H16_4,Tunneliluokka,H16_4.svg,E,,,,,,additional_sign
H17.1,Voimassaoloaika,H17.1.svg,,,,851K,Voimassaoloaika (arkisin ma-pe),,additional_sign
H17.1_2,"Voimassaoloaika, ark, la",H17.1_2.svg,,,,,,,additional_sign
H17.1_2S,"Voimassaoloaika, ark, la",H17.1_2s.svg,,,,,,,additional_sign
H17.1_3,"Voimassaoloaika ark, la, su",H17.1_3.svg,,,,,,,additional_sign
H17.1_3S,"Voimassaoloaika ark, la, su",H17.1_3s.svg,,,,,,,additional_sign
H17.1_4,Voimassaoloaika,,,,,,,,additional_sign
H17.1_4S,Voimassaoloaika,,,,,,,,additional_sign
H17.1S,Voimassaoloaika,H17.1s.svg,,,,,,,additional_sign
H17.2,Arkilauantai,H17.2.svg,,,,,Voimassaoloaika (arki-lauantaisin),,additional_sign
H17.2S,Arkilauantai,H17.2s.svg,,,,,,,additional_sign
H17.3,"Sunnuntai, itsenäisyyspäivä, vapunpäivä tai kirkollinen juhlapäivä",H17.3.svg,,,,,Voimassaoloaika (sun. ja pyhinä),,additional_sign
H17.3S,"Sunnuntai, itsenäisyyspäivä, vapunpäivä tai kirkollinen juhlapäivä",H17.3s.svg,,,,,,,additional_sign
H18,Aikarajoitus,H18.svg,,,,,Aikarajoitus,,additional_sign
H18_2,Aikarajoitus,,,,,,,,additional_sign
H18_2S,Aikarajoitus,,,,,,,,additional_sign
H18_3,Aikarajoitus,,,,,,,,additional_sign
H18_3S,Aikarajoitus,,,,,,,,additional_sign
H18_4,Aikarajoitus,,,,,,,,additional_sign
H18_4S,Aikarajoitus,,,,,,,,additional_sign
H18S,Aikarajoitus,H18s.svg,,,,,,,additional_sign
H19.1,Pysäköintiajan alkamisen osoittamisvelvollisuus,H19.1.svg,,,,,Pysäköintikiekon käyttövelvollisuus,,additional_sign
H19.1_2,Pysäköintiajan alkamisen osoittamisvelvollisuus,H19.1_2.svg,,,,,,,additional_sign
H19.1_3,Pysäköintiajan alkamisen osoittamisvelvollisuus,,,,,,,,additional_sign
