wkt_geom;fid;piirustusnumero;decision_id;diaari
MultiPolygon (((25496601.58530499413609505 6671945.70534290187060833, 25496601.09587015584111214 6671942.61517295800149441, 25496599.67547493800520897 6671939.8274903791025281, 25496597.46315751597285271 6671937.61517295800149441, 25496594.67547493800520897 6671936.19477773923426867, 25496591.58530499413609505 6671935.70534290187060833, 25496588.49513505026698112 6671936.19477773923426867, 25496585.70745247229933739 6671937.61517295800149441, 25496583.49513505026698112 6671939.8274903791025281, 25496582.07473983243107796 6671942.61517295800149441, 25496581.58530499413609505 6671945.70534290187060833, 25496582.07473983243107796 6671948.79551284573972225, 25496583.49513505026698112 6671951.58319542463868856, 25496585.70745247229933739 6671953.79551284573972225, 25496588.49513505026698112 6671955.21590806450694799, 25496591.58530499413609505 6671955.70534290187060833, 25496594.67547493800520897 6671955.21590806450694799, 25496597.46315751597285271 6671953.79551284573972225, 25496599.67547493800520897 6671951.58319542463868856, 25496601.09587015584111214 6671948.79551284573972225, 25496601.58530499413609505 6671945.70534290187060833)));73;0;2015-26;HEL 2015-002216
MultiPolygon (((25496486.32872337475419044 6672705.89709197822958231, 25496485.83928853645920753 6672702.80692203436046839, 25496484.41889331862330437 6672700.01923945546150208, 25496482.2065758965909481 6672697.80692203436046839, 25496479.41889331862330437 6672696.38652681559324265, 25496476.32872337475419044 6672695.89709197822958231, 25496473.23855343088507652 6672696.38652681559324265, 25496470.45087085291743279 6672697.80692203436046839, 25496468.23855343088507652 6672700.01923945546150208, 25496466.81815821304917336 6672702.80692203436046839, 25496466.32872337475419044 6672705.89709197822958231, 25496466.81815821304917336 6672708.98726192209869623, 25496468.23855343088507652 6672711.77494450099766254, 25496470.45087085291743279 6672713.98726192209869623, 25496473.23855343088507652 6672715.40765714086592197, 25496476.32872337475419044 6672715.89709197822958231, 25496479.41889331862330437 6672715.40765714086592197, 25496482.2065758965909481 6672713.98726192209869623, 25496484.41889331862330437 6672711.77494450099766254, 25496485.83928853645920753 6672708.98726192209869623, 25496486.32872337475419044 6672705.89709197822958231)));74;0;2015-60;HEL 2015-005751
MultiPolygon (((25495953.67487935721874237 6673667.66301031317561865, 25495953.18544451892375946 6673664.57284036930650473, 25495951.76504930108785629 6673661.78515779040753841, 25495949.55273187905550003 6673659.57284036930650473, 25495946.76504930108785629 6673658.15244515053927898, 25495943.67487935721874237 6673657.66301031317561865, 25495940.58470941334962845 6673658.15244515053927898, 25495937.79702683538198471 6673659.57284036930650473, 25495935.58470941334962845 6673661.78515779040753841, 25495934.16431419551372528 6673664.57284036930650473, 25495933.67487935721874237 6673667.66301031317561865, 25495934.16431419551372528 6673670.75318025704473257, 25495935.58470941334962845 6673673.54086283594369888, 25495937.79702683538198471 6673675.75318025704473257, 25495940.58470941334962845 6673677.17357547581195831, 25495943.67487935721874237 6673677.66301031317561865, 25495946.76504930108785629 6673677.17357547581195831, 25495949.55273187905550003 6673675.75318025704473257, 25495951.76504930108785629 6673673.54086283594369888, 25495953.18544451892375946 6673670.75318025704473257, 25495953.67487935721874237 6673667.66301031317561865)));75;0;2019-53;HEL 2019-006142
MultiPolygon (((25495653.07500000298023224 6673171.25208333414047956, 25495651.09062500298023224 6673159.74270833469927311, 25495718.4270833358168602 6673151.5406250013038516, 25495719.22083333507180214 6673162.65312500111758709, 25495653.07500000298023224 6673171.25208333414047956)));76;0;2013-80;HEL 2012-011242
MultiPolygon (((25496630.6421266570687294 6671474.23231086879968643, 25496630.15269181877374649 6671471.14214092493057251, 25496628.73229660093784332 6671468.3544583460316062, 25496626.51997917890548706 6671466.14214092493057251, 25496623.73229660093784332 6671464.72174570616334677, 25496620.6421266570687294 6671464.23231086879968643, 25496617.55195671319961548 6671464.72174570616334677, 25496614.76427413523197174 6671466.14214092493057251, 25496612.55195671319961548 6671468.3544583460316062, 25496611.13156149536371231 6671471.14214092493057251, 25496610.6421266570687294 6671474.23231086879968643, 25496611.13156149536371231 6671477.32248081266880035, 25496612.55195671319961548 6671480.11016339156776667, 25496614.76427413523197174 6671482.32248081266880035, 25496617.55195671319961548 6671483.7428760314360261, 25496620.6421266570687294 6671484.23231086879968643, 25496623.73229660093784332 6671483.7428760314360261, 25496626.51997917890548706 6671482.32248081266880035, 25496628.73229660093784332 6671480.11016339156776667, 25496630.15269181877374649 6671477.32248081266880035, 25496630.6421266570687294 6671474.23231086879968643)));77;0;2017-49;HEL 2017-010845
MultiPolygon (((25496164.06403575465083122 6672220.58367866650223732, 25496154.29606642574071884 6672206.8742480305954814, 25496193.40664100274443626 6672151.0512448251247406, 25496328.73336900770664215 6672245.86966618057340384, 25496313.9477744996547699 6672264.54403776582330465, 25496197.82752997800707817 6672183.31432780530303717, 25496189.25511454790830612 6672195.392599874176085, 25496179.48714522272348404 6672209.9588699247688055, 25496164.06403575465083122 6672220.58367866650223732)));78;6690;2017-18;HEL 2017-000259
MultiPolygon (((25495944.66979165747761726 6672382.43125000037252903, 25495956.44374999403953552 6672364.43958333320915699, 25495985.50876784697175026 6672384.3898620093241334, 25495973.64166665449738503 6672401.61354166734963655, 25495944.66979165747761726 6672382.43125000037252903)));79;0;2021-75;HEL 2021-007143
MultiPolygon (((25497083.07043344154953957 6674196.549670385196805, 25497090.05578435212373734 6674183.08105923049151897, 25497078.58243796601891518 6674174.38352245185524225, 25497059.1517706960439682 6674180.67535756714642048, 25497026.39721729606389999 6674200.84624073375016451, 25496994.93804171681404114 6674212.13453314825892448, 25496981.42910161241889 6674216.20572057645767927, 25496955.52154525741934776 6674216.3907745499163866, 25496914.80967097729444504 6674220.09185403026640415, 25496866.3255297876894474 6674211.94947917386889458, 25496824.50333166122436523 6674210.46904738154262304, 25496787.86264481022953987 6674217.87120634224265814, 25496773.79854278266429901 6674224.16304145846515894, 25496780.27543187513947487 6674241.00295309443026781, 25496783.79145738109946251 6674239.70757527649402618, 25496806.1829882338643074 6674231.56520042009651661, 25496834.68130023777484894 6674229.3445527320727706, 25496857.44293903931975365 6674231.75025439448654652, 25496881.87006360664963722 6674234.89617195259779692, 25496908.70288983732461929 6674238.22714348416775465, 25496943.67809092625975609 6674239.33746732864528894, 25496980.50383175164461136 6674237.30187361408025026, 25497020.10538218542933464 6674229.3445527320727706, 25497045.27272265031933784 6674219.72174608428031206, 25497083.07043344154953957 6674196.549670385196805)));80;6654;2016-130;HEL 2016-010362
MultiPolygon (((25497867.92243696749210358 6675881.85622964333742857, 25497867.43300212919712067 6675878.76605969946831465, 25497866.0126069113612175 6675875.97837712056934834, 25497863.80028948932886124 6675873.76605969946831465, 25497861.0126069113612175 6675872.34566448070108891, 25497857.92243696749210358 6675871.85622964333742857, 25497854.83226702362298965 6675872.34566448070108891, 25497852.04458444565534592 6675873.76605969946831465, 25497849.83226702362298965 6675875.97837712056934834, 25497848.41187180578708649 6675878.76605969946831465, 25497847.92243696749210358 6675881.85622964333742857, 25497848.41187180578708649 6675884.94639958720654249, 25497849.83226702362298965 6675887.7340821661055088, 25497852.04458444565534592 6675889.94639958720654249, 25497854.83226702362298965 6675891.36679480597376823, 25497857.92243696749210358 6675891.85622964333742857, 25497861.0126069113612175 6675891.36679480597376823, 25497863.80028948932886124 6675889.94639958720654249, 25497866.0126069113612175 6675887.7340821661055088, 25497867.43300212919712067 6675884.94639958720654249, 25497867.92243696749210358 6675881.85622964333742857)));81;0;2015-162;HEL 2015-011713
MultiPolygon (((25497393.98114163801074028 6675205.71508431993424892, 25497375.38743682950735092 6675213.42854998633265495, 25497375.15894631668925285 6675221.42571785766631365, 25497374.43143267929553986 6675235.34206497762352228, 25497367.16177845001220703 6675374.40011470578610897, 25497385.54630393534898758 6675375.48941617179661989, 25497392.5473211295902729 6675234.57478130888193846, 25497393.98114163801074028 6675205.71508431993424892)));82;6681;2017-13;HEL 2017-000043
MultiPolygon (((25497379.6067708283662796 6674965.82864583283662796, 25497381.12812499329447746 6674939.10572916641831398, 25497396.60624999552965164 6674940.42864583246409893, 25497395.01874999329447746 6674966.82083333283662796, 25497379.6067708283662796 6674965.82864583283662796)));83;0;2013-113;HEL 2013-010346
MultiPolygon (((25496058.37430229410529137 6673046.88098213169723749, 25496057.88486745581030846 6673043.79081218782812357, 25496056.46447223797440529 6673041.00312960892915726, 25496054.25215481594204903 6673038.79081218782812357, 25496051.46447223797440529 6673037.37041696906089783, 25496048.37430229410529137 6673036.88098213169723749, 25496045.28413235023617744 6673037.37041696906089783, 25496042.49644977226853371 6673038.79081218782812357, 25496040.28413235023617744 6673041.00312960892915726, 25496038.86373713240027428 6673043.79081218782812357, 25496038.37430229410529137 6673046.88098213169723749, 25496038.86373713240027428 6673049.97115207556635141, 25496040.28413235023617744 6673052.75883465446531773, 25496042.49644977226853371 6673054.97115207556635141, 25496045.28413235023617744 6673056.39154729433357716, 25496048.37430229410529137 6673056.88098213169723749, 25496051.46447223797440529 6673056.39154729433357716, 25496054.25215481594204903 6673054.97115207556635141, 25496056.46447223797440529 6673052.75883465446531773, 25496057.88486745581030846 6673049.97115207556635141, 25496058.37430229410529137 6673046.88098213169723749)));84;0;2014-67;HEL 2014-003825
MultiPolygon (((25493264.22734541818499565 6672179.75013667531311512, 25493263.73791057989001274 6672176.6599667314440012, 25493262.31751536205410957 6672173.87228415254503489, 25493260.10519794002175331 6672171.6599667314440012, 25493257.31751536205410957 6672170.23957151267677546, 25493254.22734541818499565 6672169.75013667531311512, 25493251.13717547431588173 6672170.23957151267677546, 25493248.34949289634823799 6672171.6599667314440012, 25493246.13717547431588173 6672173.87228415254503489, 25493244.71678025647997856 6672176.6599667314440012, 25493244.22734541818499565 6672179.75013667531311512, 25493244.71678025647997856 6672182.84030661918222904, 25493246.13717547431588173 6672185.62798919808119535, 25493248.34949289634823799 6672187.84030661918222904, 25493251.13717547431588173 6672189.26070183794945478, 25493254.22734541818499565 6672189.75013667531311512, 25493257.31751536205410957 6672189.26070183794945478, 25493260.10519794002175331 6672187.84030661918222904, 25493262.31751536205410957 6672185.62798919808119535, 25493263.73791057989001274 6672182.84030661918222904, 25493264.22734541818499565 6672179.75013667531311512)));85;0;2016-68;HEL 2016-006150
MultiPolygon (((25493368.35843383893370628 6672320.24934999831020832, 25493362.76610536873340607 6672329.13715774286538363, 25493350.54953067749738693 6672321.08154173474758863, 25493343.29281873628497124 6672317.81935012899339199, 25493338.3329559862613678 6672314.9233228862285614, 25493329.11227154731750488 6672308.19921365566551685, 25493326.71555934846401215 6672306.80113153904676437, 25493320.42418982088565826 6672304.63743302412331104, 25493314.5655599944293499 6672302.6401728568598628, 25493303.78035508841276169 6672299.91058395989239216, 25493294.79268433526158333 6672299.11167989298701286, 25493282.5428219735622406 6672299.11167989298701286, 25493264.76720648258924484 6672299.51113192643970251, 25493264.50090513005852699 6672290.72318718954920769, 25493275.61898672580718994 6672285.7300367709249258, 25493276.8839181661605835 6672286.59551617689430714, 25493305.7776152566075325 6672287.59414626006036997, 25493317.62802558392286301 6672286.39579015970230103, 25493321.42281990125775337 6672285.13085872028023005, 25493326.14966896548867226 6672282.60099584143608809, 25493331.47569607943296432 6672277.27496872749179602, 25493333.47295624762773514 6672271.4163389028981328, 25493335.53679175302386284 6672258.90017518680542707, 25493337.13459988683462143 6672254.77250417415052652, 25493339.13186005502939224 6672238.46154613979160786, 25493346.45514733716845512 6672239.19387486763298512, 25493342.26090098544955254 6672272.14866763073951006, 25493341.79487361386418343 6672283.00044787488877773, 25493343.39268175140023232 6672290.05743379984050989, 25493345.72281861305236816 6672295.91606362443417311, 25493348.51898284628987312 6672301.2420907374471426, 25493351.58144843578338623 6672305.90236446168273687, 25493357.63980427756905556 6672311.9607203034684062, 25493362.69953003525733948 6672316.42126801051199436, 25493368.35843383893370628 6672320.24934999831020832)));86;7188;2021-94;HEL 2021-007909
MultiPolygon (((25497686.44032962247729301 6673725.05026689451187849, 25497677.0247834250330925 6673701.60022730752825737, 25497639.8955540806055069 6673720.43131970334798098, 25497629.23644517734646797 6673738.55180483777076006, 25497658.90429829061031342 6673747.43439558986574411, 25497664.41150455549359322 6673739.44006391335278749, 25497672.40583623200654984 6673732.33399131149053574, 25497686.44032962247729301 6673725.05026689451187849)));87;6661;2016-138;HEL 2016-012043
MultiPolygon (((25497544.86074698343873024 6671718.62479246873408556, 25497544.37131214514374733 6671715.53462252486497164, 25497542.95091692730784416 6671712.74693994596600533, 25497540.7385995052754879 6671710.53462252486497164, 25497537.95091692730784416 6671709.1142273060977459, 25497534.86074698343873024 6671708.62479246873408556, 25497531.77057703956961632 6671709.1142273060977459, 25497528.98289446160197258 6671710.53462252486497164, 25497526.77057703956961632 6671712.74693994596600533, 25497525.35018182173371315 6671715.53462252486497164, 25497524.86074698343873024 6671718.62479246873408556, 25497525.35018182173371315 6671721.71496241260319948, 25497526.77057703956961632 6671724.50264499150216579, 25497528.98289446160197258 6671726.71496241260319948, 25497531.77057703956961632 6671728.13535763137042522, 25497534.86074698343873024 6671728.62479246873408556, 25497537.95091692730784416 6671728.13535763137042522, 25497540.7385995052754879 6671726.71496241260319948, 25497542.95091692730784416 6671724.50264499150216579, 25497544.37131214514374733 6671721.71496241260319948, 25497544.86074698343873024 6671718.62479246873408556)));88;0;2018-21;HEL 2018-002370
MultiPolygon (((25493408.84009495005011559 6670873.66403135191649199, 25493408.35066011175513268 6670870.57386140804737806, 25493406.93026489391922951 6670867.78617882914841175, 25493404.71794747188687325 6670865.57386140804737806, 25493401.93026489391922951 6670864.15346618928015232, 25493398.84009495005011559 6670863.66403135191649199, 25493395.74992500618100166 6670864.15346618928015232, 25493392.96224242821335793 6670865.57386140804737806, 25493390.74992500618100166 6670867.78617882914841175, 25493389.3295297883450985 6670870.57386140804737806, 25493388.84009495005011559 6670873.66403135191649199, 25493389.3295297883450985 6670876.75420129578560591, 25493390.74992500618100166 6670879.54188387468457222, 25493392.96224242821335793 6670881.75420129578560591, 25493395.74992500618100166 6670883.17459651455283165, 25493398.84009495005011559 6670883.66403135191649199, 25493401.93026489391922951 6670883.17459651455283165, 25493404.71794747188687325 6670881.75420129578560591, 25493406.93026489391922951 6670879.54188387468457222, 25493408.35066011175513268 6670876.75420129578560591, 25493408.84009495005011559 6670873.66403135191649199)));89;0;2018-93;HEL 2018-012864
MultiPolygon (((25493419.73750001564621925 6670803.92604166641831398, 25493448.04791665822267532 6670663.03541666455566883, 25493458.60564285889267921 6670664.73048697784543037, 25493428.93177084997296333 6670805.57968749944120646, 25493419.73750001564621925 6670803.92604166641831398)));90;0;2021-17;HEL 2021-000265
MultiPolygon (((25496000.15176823362708092 6672311.73204439599066973, 25495999.66233339533209801 6672308.64187445212155581, 25495998.24193817749619484 6672305.85419187322258949, 25495996.02962075546383858 6672303.64187445212155581, 25495993.24193817749619484 6672302.22147923335433006, 25495990.15176823362708092 6672301.73204439599066973, 25495987.061598289757967 6672302.22147923335433006, 25495984.27391571179032326 6672303.64187445212155581, 25495982.061598289757967 6672305.85419187322258949, 25495980.64120307192206383 6672308.64187445212155581, 25495980.15176823362708092 6672311.73204439599066973, 25495980.64120307192206383 6672314.82221433985978365, 25495982.061598289757967 6672317.60989691875874996, 25495984.27391571179032326 6672319.82221433985978365, 25495987.061598289757967 6672321.24260955862700939, 25495990.15176823362708092 6672321.73204439599066973, 25495993.24193817749619484 6672321.24260955862700939, 25495996.02962075546383858 6672319.82221433985978365, 25495998.24193817749619484 6672317.60989691875874996, 25495999.66233339533209801 6672314.82221433985978365, 25496000.15176823362708092 6672311.73204439599066973)));91;0;2017-44;HEL 2017-010346
MultiPolygon (((25495977.7604166679084301 6672334.46041666809469461, 25495986.22708333656191826 6672321.0989583320915699, 25496048.00729166716337204 6672363.8291666666045785, 25496038.74687500298023224 6672376.39687499962747097, 25495977.7604166679084301 6672334.46041666809469461)));92;0;2011-10013;HEL 2011-002835
MultiPolygon (((25497723.26835709810256958 6672719.42727770004421473, 25497735.20778539404273033 6672738.95135778747498989, 25497829.92118007317185402 6672674.50032646581530571, 25497818.67717983201146126 6672655.95009822119027376, 25497723.26835709810256958 6672719.42727770004421473)));93;6792;2017-100;HEL 2017-013182
MultiPolygon (((25498044.66176505014300346 6672689.22899883706122637, 25498044.17233021184802055 6672686.13882889319211245, 25498042.75193499401211739 6672683.35114631429314613, 25498040.53961757197976112 6672681.13882889319211245, 25498037.75193499401211739 6672679.7184336744248867, 25498034.66176505014300346 6672679.22899883706122637, 25498031.57159510627388954 6672679.7184336744248867, 25498028.7839125283062458 6672681.13882889319211245, 25498026.57159510627388954 6672683.35114631429314613, 25498025.15119988843798637 6672686.13882889319211245, 25498024.66176505014300346 6672689.22899883706122637, 25498025.15119988843798637 6672692.31916878093034029, 25498026.57159510627388954 6672695.1068513598293066, 25498028.7839125283062458 6672697.31916878093034029, 25498031.57159510627388954 6672698.73956399969756603, 25498034.66176505014300346 6672699.22899883706122637, 25498037.75193499401211739 6672698.73956399969756603, 25498040.53961757197976112 6672697.31916878093034029, 25498042.75193499401211739 6672695.1068513598293066, 25498044.17233021184802055 6672692.31916878093034029, 25498044.66176505014300346 6672689.22899883706122637)));94;0;2017-56;HEL 2017-010992
MultiPolygon (((25495674.15181973204016685 6672761.59208516590297222, 25495689.43212262913584709 6672770.16047931369394064, 25495699.0001627579331398 6672752.02404503524303436, 25495759.40734149888157845 6672735.45848301704972982, 25495756.40840354561805725 6672721.7490523811429739, 25495752.26701304316520691 6672722.60589179582893848, 25495700.85664815828204155 6672736.31532243173569441, 25495688.00405693799257278 6672739.45706695131957531, 25495674.15181973204016685 6672761.59208516590297222)));95;6692;2017-24;HEL 2017-000811
MultiPolygon (((25495969.72047143056988716 6672674.67351629305630922, 25495969.23103659227490425 6672671.5833463491871953, 25495967.81064137443900108 6672668.79566377028822899, 25495965.59832395240664482 6672666.5833463491871953, 25495962.81064137443900108 6672665.16295113041996956, 25495959.72047143056988716 6672664.67351629305630922, 25495956.63030148670077324 6672665.16295113041996956, 25495953.8426189087331295 6672666.5833463491871953, 25495951.63030148670077324 6672668.79566377028822899, 25495950.20990626886487007 6672671.5833463491871953, 25495949.72047143056988716 6672674.67351629305630922, 25495950.20990626886487007 6672677.76368623692542315, 25495951.63030148670077324 6672680.55136881582438946, 25495953.8426189087331295 6672682.76368623692542315, 25495956.63030148670077324 6672684.18408145569264889, 25495959.72047143056988716 6672684.67351629305630922, 25495962.81064137443900108 6672684.18408145569264889, 25495965.59832395240664482 6672682.76368623692542315, 25495967.81064137443900108 6672680.55136881582438946, 25495969.23103659227490425 6672677.76368623692542315, 25495969.72047143056988716 6672674.67351629305630922)));96;0;2014-203;HEL 2014-014297
MultiPolygon (((25496287.39687500521540642 6672426.96510416734963655, 25496295.00364583358168602 6672415.38958333246409893, 25496309.8203125037252903 6672425.84062500018626451, 25496301.75052083656191826 6672437.08541666716337204, 25496287.39687500521540642 6672426.96510416734963655)));97;0;2022-9;HEL 2022-003072
MultiPolygon (((25496137.96997714042663574 6672322.22830579057335854, 25496155.26458333432674408 6672297.36666666716337204, 25496168.75833333283662796 6672305.56875000055879354, 25496199.18541666492819786 6672329.64583333395421505, 25496185.16250000149011612 6672355.57500000018626451, 25496137.96997714042663574 6672322.22830579057335854)));98;0;2011-10011;HEL 2011-002349
MultiPolygon (((25495944.83402705937623978 6672159.81457675155252218, 25495944.34459222108125687 6672156.72440680768340826, 25495942.9241970032453537 6672153.93672422878444195, 25495940.71187958121299744 6672151.72440680768340826, 25495937.9241970032453537 6672150.30401158891618252, 25495934.83402705937623978 6672149.81457675155252218, 25495931.74385711550712585 6672150.30401158891618252, 25495928.95617453753948212 6672151.72440680768340826, 25495926.74385711550712585 6672153.93672422878444195, 25495925.32346189767122269 6672156.72440680768340826, 25495924.83402705937623978 6672159.81457675155252218, 25495925.32346189767122269 6672162.9047466954216361, 25495926.74385711550712585 6672165.69242927432060242, 25495928.95617453753948212 6672167.9047466954216361, 25495931.74385711550712585 6672169.32514191418886185, 25495934.83402705937623978 6672169.81457675155252218, 25495937.9241970032453537 6672169.32514191418886185, 25495940.71187958121299744 6672167.9047466954216361, 25495942.9241970032453537 6672165.69242927432060242, 25495944.34459222108125687 6672162.9047466954216361, 25495944.83402705937623978 6672159.81457675155252218)));99;0;2016-129;HEL 2016-009430
MultiPolygon (((25497573.0305488258600235 6673175.9596655173227191, 25497574.64166666567325592 6673155.27291666623204947, 25497596.86666666716337204 6673156.33124999981373549, 25497593.69166666641831398 6673176.96875, 25497573.0305488258600235 6673175.9596655173227191)));100;0;2012-136;HEL 2012-012031
MultiPolygon (((25497564.41343500465154648 6673325.42792254872620106, 25497564.46230260282754898 6673307.68458645790815353, 25497583.03559018671512604 6673307.12246731761842966, 25497581.11571112275123596 6673325.36131841316819191, 25497564.41343500465154648 6673325.42792254872620106)));101;0;2012-137;HEL 2012-012032
MultiPolygon (((25497578.75780042633414268 6673466.84797653742134571, 25497578.26836558803915977 6673463.75780659355223179, 25497576.84797037020325661 6673460.97012401465326548, 25497574.63565294817090034 6673458.75780659355223179, 25497571.84797037020325661 6673457.33741137478500605, 25497568.75780042633414268 6673456.84797653742134571, 25497565.66763048246502876 6673457.33741137478500605, 25497562.87994790449738503 6673458.75780659355223179, 25497560.66763048246502876 6673460.97012401465326548, 25497559.2472352646291256 6673463.75780659355223179, 25497558.75780042633414268 6673466.84797653742134571, 25497559.2472352646291256 6673469.93814648129045963, 25497560.66763048246502876 6673472.72582906018942595, 25497562.87994790449738503 6673474.93814648129045963, 25497565.66763048246502876 6673476.35854170005768538, 25497568.75780042633414268 6673476.84797653742134571, 25497571.84797037020325661 6673476.35854170005768538, 25497574.63565294817090034 6673474.93814648129045963, 25497576.84797037020325661 6673472.72582906018942595, 25497578.26836558803915977 6673469.93814648129045963, 25497578.75780042633414268 6673466.84797653742134571)));102;0;2014-57;HEL 2014-003245
MultiPolygon (((25497669.63092274963855743 6672934.18204216193407774, 25497698.13696325942873955 6672934.97741400543600321, 25497699.09690279141068459 6672914.81868384685367346, 25497669.81874708458781242 6672913.85874431580305099, 25497669.63092274963855743 6672934.18204216193407774)),((25497621.31015624850988388 6672944.20078125037252903, 25497609.04010416194796562 6672943.57239583414047956, 25497608.41171874850988388 6672959.0835937513038516, 25497620.53294270485639572 6672959.53007812611758709, 25497621.31015624850988388 6672944.20078125037252903)));103;0;2012-135;HEL 2012-012029
MultiPolygon (((25495826.23442626744508743 6673558.66543133556842804, 25495833.11928149312734604 6673604.45381462387740612, 25496023.12706520035862923 6673567.22492964193224907, 25496016.71730208024382591 6673524.72867083922028542, 25495826.23442626744508743 6673558.66543133556842804)));104;6685;2017-19;HEL 2016-014060
MultiPolygon (((25497195.29532458260655403 6671698.26015596184879541, 25497194.80588974431157112 6671695.16998601797968149, 25497193.38549452647566795 6671692.38230343908071518, 25497191.17317710444331169 6671690.16998601797968149, 25497188.38549452647566795 6671688.74959079921245575, 25497185.29532458260655403 6671688.26015596184879541, 25497182.20515463873744011 6671688.74959079921245575, 25497179.41747206076979637 6671690.16998601797968149, 25497177.20515463873744011 6671692.38230343908071518, 25497175.78475942090153694 6671695.16998601797968149, 25497175.29532458260655403 6671698.26015596184879541, 25497175.78475942090153694 6671701.35032590571790934, 25497177.20515463873744011 6671704.13800848461687565, 25497179.41747206076979637 6671706.35032590571790934, 25497182.20515463873744011 6671707.77072112448513508, 25497185.29532458260655403 6671708.26015596184879541, 25497188.38549452647566795 6671707.77072112448513508, 25497191.17317710444331169 6671706.35032590571790934, 25497193.38549452647566795 6671704.13800848461687565, 25497194.80588974431157112 6671701.35032590571790934, 25497195.29532458260655403 6671698.26015596184879541)));105;0;2016-13;HEL 2016-001709
MultiPolygon (((25497028.54954846948385239 6672364.45111915748566389, 25497028.06011363118886948 6672361.36094921361654997, 25497026.63971841335296631 6672358.57326663471758366, 25497024.42740099132061005 6672356.36094921361654997, 25497021.63971841335296631 6672354.94055399484932423, 25497018.54954846948385239 6672354.45111915748566389, 25497015.45937852561473846 6672354.94055399484932423, 25497012.67169594764709473 6672356.36094921361654997, 25497010.45937852561473846 6672358.57326663471758366, 25497009.0389833077788353 6672361.36094921361654997, 25497008.54954846948385239 6672364.45111915748566389, 25497009.0389833077788353 6672367.54128910135477781, 25497010.45937852561473846 6672370.32897168025374413, 25497012.67169594764709473 6672372.54128910135477781, 25497015.45937852561473846 6672373.96168432012200356, 25497018.54954846948385239 6672374.45111915748566389, 25497021.63971841335296631 6672373.96168432012200356, 25497024.42740099132061005 6672372.54128910135477781, 25497026.63971841335296631 6672370.32897168025374413, 25497028.06011363118886948 6672367.54128910135477781, 25497028.54954846948385239 6672364.45111915748566389)));106;0;2017-10;HEL 2017-000041
MultiPolygon (((25497161.62698337435722351 6672520.07623154018074274, 25497161.1375485360622406 6672516.98606159631162882, 25497159.71715331822633743 6672514.19837901741266251, 25497157.50483589619398117 6672511.98606159631162882, 25497154.71715331822633743 6672510.56566637754440308, 25497151.62698337435722351 6672510.07623154018074274, 25497148.53681343048810959 6672510.56566637754440308, 25497145.74913085252046585 6672511.98606159631162882, 25497143.53681343048810959 6672514.19837901741266251, 25497142.11641821265220642 6672516.98606159631162882, 25497141.62698337435722351 6672520.07623154018074274, 25497142.11641821265220642 6672523.16640148404985666, 25497143.53681343048810959 6672525.95408406294882298, 25497145.74913085252046585 6672528.16640148404985666, 25497148.53681343048810959 6672529.58679670281708241, 25497151.62698337435722351 6672530.07623154018074274, 25497154.71715331822633743 6672529.58679670281708241, 25497157.50483589619398117 6672528.16640148404985666, 25497159.71715331822633743 6672525.95408406294882298, 25497161.1375485360622406 6672523.16640148404985666, 25497161.62698337435722351 6672520.07623154018074274)));107;0;2017-98;HEL 2017-013271
MultiPolygon (((25496954.42690299823880196 6672285.69389129336923361, 25496953.93746815994381905 6672282.60372134950011969, 25496952.51707294210791588 6672279.81603877060115337, 25496950.30475552007555962 6672277.60372134950011969, 25496947.51707294210791588 6672276.18332613073289394, 25496944.42690299823880196 6672275.69389129336923361, 25496941.33673305436968803 6672276.18332613073289394, 25496938.5490504764020443 6672277.60372134950011969, 25496936.33673305436968803 6672279.81603877060115337, 25496934.91633783653378487 6672282.60372134950011969, 25496934.42690299823880196 6672285.69389129336923361, 25496934.91633783653378487 6672288.78406123723834753, 25496936.33673305436968803 6672291.57174381613731384, 25496938.5490504764020443 6672293.78406123723834753, 25496941.33673305436968803 6672295.20445645600557327, 25496944.42690299823880196 6672295.69389129336923361, 25496947.51707294210791588 6672295.20445645600557327, 25496950.30475552007555962 6672293.78406123723834753, 25496952.51707294210791588 6672291.57174381613731384, 25496953.93746815994381905 6672288.78406123723834753, 25496954.42690299823880196 6672285.69389129336923361)));108;0;2017-50;HEL 2017-010314
MultiPolygon (((25495640.80783606693148613 6672443.03982786275446415, 25495712.9083845466375351 6672455.21264773607254028, 25495703.31058426201343536 6672404.18044134322553873, 25495643.35542742908000946 6672401.35570936929434538, 25495641.46672487631440163 6672432.25897833332419395, 25495640.80783606693148613 6672443.03982786275446415)));109;6554;2016-18;HEL 2016-002194
