Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2012-4;13.1.2012;Koskelantien liikenteen ohjaussuunnitelma välillä Lahdenväylä Hämeentie;HEL 2011-006567;6061-44;
2012-3;13.1.2012;Pysäköintijärjestelyt Iltatähdenkujalla;HEL 2011-007979;Iltatähdenkuja;
2012-5;13.1.2012;CD-paikkojen merkitseminen Itäinen Teatterikuja 1 edustalle;HEL 2011-010165;Itäinen Teatterikuja ;
2012-2;13.1.2012;Linja-auton pysäkkijärjestelyt Aurinkotuulenkatu 3 edustalla;HEL 2011-010843;Aurinkotuulenkatu;
2012-6;13.1.2012;Ajorajoituksen poistaminen Hämeentien pohjoisosasta;HEL 2012-000048;Hämeentie;
2012-10;27.1.2012;CD-paikkojen merkitseminen Pohjoinen Makasiinikatu 4 edustalle;HEL 2012-000303;Pohjoinen Makasiinikatu;
2012-12;27.1.2012;Pysäköintijärjestelyt Umpiaidanpolull;HEL 2012-001149;6063-4;
2012-11;27.1.2012;Muonamiehentien pysäköintijärjestelyt;;;
2012-16;10.2.2012;Matkailuliikenteen pysäkki Töölönlahdenkatu 1 edustalle;HEL 2012-000334;6062-4;
2012-17;10.2.2012;Ajomiehentien liikenteen ohjaussuunnitelma;HEL 2012-001871;6064-3;
2012-21;24.2.2012;Pyhän Laurin tien länsipuolella sijaitsevan kääntöpaikan liikenteen ohjaussuunnitelma;HEL 2012-002180;6066-4;
2012-28;9.3.2012;Huoltoliikennejärjestelyt Kuusisaarentie 38 edustalla;HEL 2012-002668;6067-4;
2012-26;9.3.2012;CD-paikkojen merkitseminen Kasarmikatu 44 edustalle ja asukaspysäköintipaikkojen lisääminen Myllytie 2 edustalle;HEL 2012-003002;Kasarmikatu, Myllytie;
2012-25;9.3.2012;Pysäköinnin kieltäminen Katajaharjuntie 18 edustalla;HEL 2012-003518;Katajaharjuntie;
2012-29;9.3.2012;Ulvilantien pysäkki- ja pysäköintijärjestelyt;HEL 2012-003598;Ulvilantie;
2012-27;9.3.2012;Kiinteistölle ajon salliminen Kuunaripuistossa;;;
2012-33;16.3.2012;Matkailuliikenteen tilapäiset pysäkkijärjestelyt Senaatintorin eteläreunalla;HEL 2012-003061;Senaatintori matkailuliikenne ;
2012-34;16.3.2012;Kaukoliikenteen linja-auton pikavuoropysäkki Mannerheiminaukion edustalle;HEL 2012-003608;Mannerheiminaukio ;
2012-38;23.3.2012;Kaisaniemenrannan pysäköintijärjestelyt;HEL 2011-008402;6057-44;
2012-40;23.3.2012;Asiointipysäköintipaikkojen lisääminen Siltasaarenkatu 3 edutalle;HEL 2011-009976;Siltasaarenkatu;
2012-39;23.3.2012;Kanavaterminaalin opasteiden poistaminen Katajanokalla;HEL 2012-003907;Kanavaterminaali;
2012-41;23.3.2012;Suojatien siirto Fredrikinkadulla Salomonkadun kohdalla;HEL 2012-004367;6071-4;
2012-42;23.3.2012;Yläkiventien liikennejärjestelyt välillä Myllypurontie Yläkivenrinne;;;
2012-46;23.3.2012;Aitiopaikan, Ensi parven ja Piippuhyllyn pysäköintijärjestelyt;HEL 2012-005202;6074-3;
2012-47;5.4.2012;Itäreimarintien ja Eteläreimarintien liikennejärjestelyt;HEL 2012-005203;6073-7;
2012-52;20.4.2012;Pysäköinötijärjestelyt Kontulankujalla ja Kontulantiellä;HEL 2012-005390;Kontulankuja;
2012-51;20.4.2012;Kanavakadun ryhmitysmerkit;HEL 2012-006049;Kanavakatu;
2012-53;20.4.2012;Kulosaaren pohjoisosan liikenteen ohjaussuunnitelma;HEL 2012-006050;6075-1;
2012-57;27.4.2012;Pysäöintirajoitusten tarkistaminen Steniuksentie 28 ja Kauppalantie 42 edustalla;HEL 2012-006401;Steniuksentie / Kauppalantie;
2012-58;27.4.2012;Hopeatie 14 edustan pysäköintipaikan aikarajoitksen muuttaminen;HEL 2012-006404;Hopeatie;
2012-59;27.4.2012;Riukutien pysäköintijärjestelyt;HEL 2012-006488;6079-2;
2012-63;4.5.2012;Intiankadun liikennejärjestelyt;HEL 2012-006773;6081-4;
2012-64;4.5.2012;Tähtitorninkdun lapsivaroitusmerkki;HEL 2012-006783;Tähtitorninkatu;
2012-68;11.5.2012;Matkailuliikenteen tilapäiset pysäkkijärjestelyt Senaatintorin ympäristössä;HEL 2012-004724;6082-3;
2012-74;11.5.2012;Pysäköiöntijärjestelyt Isokaarella välillä Sotkatie Viklakuja;HEL 2012-005452;6080-7;
2012-73;11.5.2012;Pyöräpysäköintijärjestelyjen kokeilu kantakaupungissa;HEL 2012-005946;Rikhardinkatu, Toinen linja, Tykistönkatu;
2012-70;11.5.2012;Keskikorokkeen rakentaminen Tynnyrintekijänkadulle Lautatarhankadun liittymään;HEL 2012-006490;Tynnyrintekijänkatu;
2012-71;11.5.2012;Myllypuron ostoskeskuksen ja liityntäpysäköinnin pysäköintiopastus Myllypurontien ja Kivensilmänkujan liittymässä;HEL 2012-006894;Kivensilmä;
2012-72;11.5.2012;Baanan liikenteen ohjaussuunnitelma;HEL 2012-006950;6076-7, 6077-2;
2012-69;11.5.2012;Suojatie Erätielle;;;
2012-80;25.5.2012;Pysäköintitilojen varaaminen yhteiskäyttöautoille;HEL 2012-003066;6087-2, Kalevankatu ;
2012-79;25.5.2012;Hietaniemen alueen tilapäiset pysäköintijärjestelyt;HEL 2012-007641;6084-7;
2012-81;25.5.2012;Pysäkkijärjestelyt Suolakivenkadulla;HEL 2012-007642;Suolakivenkatu;
2012-78;25.5.2012;Matkailuliikenteen pysäkki Mannerheimintielle Ruotsalaisen teatterin edustalle;HEL 2012-007743;Mannerheimintie;
2012-86;1.6.2012;Hidasteiden rakentaminen Riskutielle;HEL 2012-006778;Riskutie;
2012-87;1.6.2012;Linja-auton pysäkki Unioninkatu 19-21 edustalle ja pysäköinnin kieltäminen Arkadiankatu 24 edustalla;HEL 2012-007326;Arkadiankatu 24, Unioninkatu 19-21;
2012-88;1.6.2012;Pysäkki- ja suojatiejärjestelyt Haastemiehentie 1 kohdalla;HEL 2012-007367;Haastemiehentie;
2012-85;1.6.2012;Pysäkki- ja suojatiejärjestelyt Maaherrantiellä;HEL 2012-008139;6088-4;
2012-101;15.6.2012;Pysäköintijärjestelyt Hallainvuorentiellä;HEL 2011-006413;6094-4;
2012-92;15.6.2012;Pyötsaarenkujan liikennejärjestelyt;HEL 2012-002515;6090-4;
2012-96;15.6.2012;Pysäköintikielto Sienitie 5 edustalle;HEL 2012-007644;Sienitie;
2012-94;15.6.2012;Maapadontien kääntöpaikan liikennejärjestelyt;HEL 2012-008187;6089-3;
2012-102;15.6.2012;Töölönlahden pysäköintilaitosten opastus;HEL 2012-008263;6096-3;
2012-99;15.6.2012;Sulkulaitteen asettaminen Lääkintalotanrinteeseen;HEL 2012-008386;Lääkintälotanrinne;
2012-93;15.6.2012;Heinäsarantien ja Heinäsarankaaren liikenteen ohjaussuunnitelma;HEL 2012-008514;6091-2;
2012-95;15.6.2012;Palokaivonaukion liikenteen ohjaussuunnitelma;HEL 2012-008618;6093-3;
2012-100;15.6.2012;Musiikkitalon taksiliikenteen järjestelyt;HEL 2012-008716;Eero Erkon katu;
2012-97;15.6.2012;Metsäläntien ja Ilkantien liittymän liikennejärjesteyt;HEL 2012-008717;6092-4;
2012-98;15.6.2012;Kameravalvonnasta tiedottavien taulujen asettaminen Mechelininkadulle ja Mannerheimintielle;HEL 2012-008800;Mannerheimintie;
2012-49;15.6.2012;Liikennejärjestelyt Jollaksentie 67 edustalla;HEL 2012-008612;6095-3;
2012-;29.6.2012;;HEL 2011-003217;Uudenmaankatu;
2012-;29.6.2012;;HEL 2012-006217;Runeberginkatu;
2012-;29.6.2012;;HEL 2012-007435;Granfeltintie;
2012-;29.6.2012;Puotilan liityntäpysäköintialueen liikenteenohjaussuunnitelma;HEL 2012-009211;6099-3;
2012-;29.6.2012;Ramsinranta II liikenteen ohjaussuunnitelma;HEL 2012-009273;6100-2;
2012-;29.6.2012;Salmisaarenrannan pysäkkijärjestelyt ;HEL 2012-009445;6101-4;
2012-;29.6.2012;Itämerenkadun ja Santakadun pysäkkijärjestelyt;HEL 2012-009445;6102-4;
2012-;29.6.2012;;HEL 2012-009490;Runeberginkatu;
2012-;29.6.2012;;HEL 2012-009542;Amiraali Cronstedtinranta;
2012-;29.6.2012;;HEL 2012-009551;Pohjoinen Rautatiekatu;
2012-120;17.8.2012;Pysäkki-, pysäköiti- ja ajokieltojärjestelyt Pohjoisella Hesperiankadulla, Eteläisellä Hesperiankadulla, Hietakannaksentiellä, Hiekkarannantiellä, Hietaniemenkadulla ja Mechelininkadulla;HEL 2012-009551;6103-1;
2012-122;17.8.2012;Yötaksiaseman merkitseminen Mannerheimintie 9 edusalle ja yötaksiaseman poistaminen Kaivokadulta;HEL 2012-011011;Mannerheimintie;
2012-121;17.8.2012;CD-paikkojen merkitseminen Satamakatu 4 dustalle ja pysäköinnin salliminen Kulosaarentie 32 ja 34 edusalla;HEL 2012-011115;Satamakatu;
2012-119;17.8.2012;Pysäköinnin kieltäminen Vuorenpeikontiellä;;;
2012-;17.8.2012;Ajokieltojärjestelyt Hietakannaksentiellä, Eteläisellä Hesperiankadulla, Hietaniemenkadulla ja Mechelininkadulla;HEL 2012-009551;6105-1;
2012-143;7.9.2012;Näyttelijäntien pohjoispään kaistajärjestelyt;HEL 2012-004080;6111-3;
2012-133;7.9.2012;Pysäköintijärjestelyt Palovartijantie 8 edutalla;HEL 2012-008126;Palovartijantie;
2012-126;7.9.2012;Tarkistetut pysäkki- ja suojatiejärjestelyt Maaherrantiellä;HEL 2012-008139;6110-4;
2012-134;7.9.2012;Liikennejärjstelyt Rudolfintiellä;HEL 2012-010302;6112-4;
2012-138;7.9.2012;CD-paikkojen merkitseminen Kulosaarenkatu 12 edustalle;HEL 2012-011324;Kulosaarentie;
2012-129;7.9.2012;Tontille ajon salliminen Liikkalanpolun eteläosalla;HEL 2012-011838;Liikkalanpolku;
2012-130;7.9.2012;Korsholmantien ja Kasteholmantien liittymän liikennejärjestelyt;HEL 2012-011839;6108-4;
2012-127;7.9.2012;Kallvikintien, Rastilantien ja Koukkusaarentien kiertoliittymän tarkistettu liikennesuunnitelma;HEL 2012-011912;6109-3;
2012-131;7.9.2012;Sulkapolun pysäköintijärjestelyt;HEL 2012-011933;Sulkapolku ;
2012-128;7.9.2012;Hiekkajaalanpuiston puistokäytävän merkitseminen yhdistetyksi pyörätieksi ja jalkakäytäväksi;HEL 2012-011943;Hiekkajaalanpuiston puistokäytävä;
2012-132;7.9.2012;Risteysruudutus tiemerkinnän kokeilu Kaivokadun ja Rautatientorin liittymässä;HEL 2012-011962;6113-4;
2012-142;7.9.2012;Linja-autopysäkin poistaminen Eteläesplanadi 24-22 edustalta;HEL 2012-012022;Eteläesplanadi 24-22;
2012-141;7.9.2012;Lippuautuomaattipaikkojen merkitseminen Eteläesplanadi 12-10 edustalle;HEL 2012-012023;Eteläesplanadi 12-10;
2012-139;7.9.2012;Pysäköinnin kieltäminen Pohjoisesplanadi 7-9 edustalla;HEL 2012-012027;Pohjoisesplanadi 7-9;
2012-140;7.9.2012;Lippuautuomaattipaikkojen merkitseminen Pohjoisesplanadi 25 ja 35-27 edustalle;HEL 2012-012028;Pohjoisesplanadi 25 ja 35-37;
2012-135;7.9.2012;Asukakspysäköintipaikkojen lisääminen Mariankatu 3 kohdalla ja linjan 16 vasemalle kääntymisen kieltäminen Meritullintorilta Aleksanterinkadulle;HEL 2012-012029;Mariankatu ja Meritullinkatu;
2012-137;7.9.2012;Asukaspysäköintipaikkojen lisääminen Mariankatu 22 edustalle;HEL 2012-012032;Mariankatu 22;
2012-136;7.9.2012;Asukaspysäköiöntipaikkojen lisääminen Mariankatu 14-12 edustalle;;;
2012-148;21.9.2012;Tervasaarenkannaksen pysäköintijärjestelyt;HEL 2012-011302;6122-3;
2012-147;21.9.2012;Pysäköinnin kieltäminen Fredrikinkatu 63a-65 edustalla;HEL 2012-012046;Fredrikinkatu ;
2012-149;21.9.2012;Viilarintien pohjoispään ja sen lähiympäristön liikenteen ohjaussuunnitelma;HEL 2012-012649;6097-1, 6098-1;
2012-150;21.9.2012;Mustikkamaanpolun  liikennejärjestelyt;;;
2012-156;28.9.2012;Pyörätiejärjestelyjen tarkistaminen Porvoonkadulla Saimaanpuistikon kohdalla;HEL 2012-011898;Porvoonkatu;
2012-157;28.9.2012;Torpparinmäentien kääntöpaikan liikennejärjestelyt;HEL 2012-012788;6123-4;
2012-155;28.9.2012;Sähköautojen latauspaikat Runeberginkatu 1 edustalle;HEL 2012-012838;6125-4;
2012-158;28.9.2012;Linja-autopysäkkijärjestelyt Malminkartanontiellä ;HEL 2012-012874;6126-3;
2012-154;28.9.2012;Jouko linjan pysäkki Raumantielle;HEL 2012-012977;Raumantie;
2012-162;12.10.2012;Vesalan itäosan liikenteen ohjaussuunnitelma;HEL 2012-013298;6104-1;
2012-163;12.10.2012;Sulkulaitejärjestelyt Ulapparaitilla;HEL 2012-013563;6128-4;
2012-164;12.10.2012;Lapsista varoittaminen Kulosaarentiellä;HEL 2012-013669;Kulosaarentie;
2012-169;19.10.2012;Viinentien jalkakäytävä;HEL 2011-007896;6130-3;
2012-168;19.10.2012;Lapinlahdentien pysäköintijärjestelyt;HEL 2012-011534;6129-3;
2012-173;23.10.2012;Nopeusrajoituksen tehostaminen tiemerkinnöin Toisella linjalla;HEL 2012-013614;Toinen linja, tiemerkinnät;
2012-175;26.10.2012;Fabianinkadun liikenteen ohjaussuunnitelma välillä Yliopistonkatu Kaisaniemenkatu;HEL 2012-014210;6132-2;
2012-174;26.10.2012;Reunakivi- ja tiemerkintäjärjestelyt Pohjoisen Rautatiekadun ja Jaakonkadun liittymässä;HEL 2012-014216;6131-4;
2012-181;2.11.2012;Ajonneuvolla ajon kieltäminen Ruoholahden kadun ja Mechelininkadun välisellä vararaideyhteydellä;HEL 2012-013164;Ruoholahdenkadun ajokielto;
2012-183;2.11.2012;Hiihtomäentien eteläosan liikenteen ohjaussuunnitelma;HEL 2012-014632;6133-4;
2012-182;2.11.2012;Kuusiaidan ajokielto;HEL 2012-014680;Kuusiaita;
2012-184;2.11.2012;Pysäköinnin kieltäminen Ståhlbergintiellä;;;
2012-189;16.11.2012;Jalkakäytäväalueen selkeyttäminen teksitauluin ja reunatukijärjestelyin Pukinmäenaukiolla;HEL 2012-006275;Pukinmäenaukio;
2012-190;16.11.2012;Kalastajanpolun liikenteen ohjaussuunnitelma;HEL 2012-014718;6138-4;
2012-188;16.11.2012;Pysäköintijärjestelyt Ulvilantiellä;;;
2012-198;23.11.2012;Ylä-Fallin tien liikennejärjestelyt Potmäenpolun kohdalla;HEL 2012-011840;6140-4;
2012-197;23.11.2012;Pyöräpysäköintipaikkojen merkitseminen Pieni Roobertinkadulle;HEL 2012-012881;Pieni Roobertinkatu pyöräteline;
2012-196;23.11.2012;CD-paikkojen merkitsminen Unioninkatu 21-19 edustalla ja pysäköinnin kieltäminen Unioninkatu 17 edustalla;HEL 2012-013399;Unioninkatu;
2012-195;23.11.2012;Pysäköinnin kieltämbnebn Puusepänkatu 2 edustalla;HEL 2012-015610;Puusepänkatu;
2012-194;23.11.2012;Uutelantien hevosista varoittava merkki;HEL 2012-012235;Uutelantie;
2012-176;26.11.2012;Ajokiellon tehostaminen Aleksanterinkadulta Kluuvikadulle;HEL 2012-014077;Kluuvikatu ;
2012-177;26.11.2012;Thalianaukion pyöräpysäköintipaikat;;;
2012-202;30.11.2012;Pysäköintijärjestelyt Jollaksentiellä;HEL 2012-014198;6141-3;
2012-207;30.11.2012;Sähköautojen latauspaikat ;HEL 2012-015841;6142-4, 6143-4, 6144-4, 6145-4, 6147-4, 6148-4, 6149-4, 6150-4, 6151-4, 6152-4;
2012-203;30.11.2012;Pysäköintijärjestelyt Prikitiellä;HEL 2012-015991;Prikitie;
2012-204;30.11.2012;Jalankulkujärjestelyt Rahtarinkadulla;HEL 2012-016128;Rahtarinkatu;
2012-205;30.11.2012;Punbavuorenkadun ja Perämiehenkadun pysäköintijärjeselyt;HEL 2013-001261;6153-4;
2012-206;30.11.2012;Paavo Nurmen tien pysäköintijärjestelyt;HEL 2013-004630;;
2012-213;20.12.2012;Kasarmitorin ympäristön pysäköintijärjestelyt;HEL 2012-004054;6156-2;
2012-211;20.12.2012;Syystien monipuolisen palvelukeskuksen osoiteviitta;HEL 2012-016913;Syystie;
2012-212;20.12.2012;Erätien pysäköintijärjestelyt;HEL 2012-016973;Erätie;
2013-3;25.1.2013;Kyläkirkontielle umpitiemerkki;HEL 2012-014304;Kyläkirkontie;
2013-1;25.1.2013;Unioninkatu 36 edustan pysäköintijärjestelyt;HEL 2012-017065;6157-4;
2013-2;25.1.2013;Aurorankun ja Ainonkadun ajoestesuunnitelma;;;
2013-9;1.2.2013;Elielinaukion terminaalin aitajärjestelyt;HEL 2013-001208;6164-4;
2013-8;1.2.2013;Munkkiniemenrannan pohjoisosan liikenteen ohjaussuunnitelma;HEL 2013-001261;6153-4;
2013-5;1.2.2013;Linja-autojen pysäköintijärjestelyt Eteläinen Rautatiekatu 10-12 kohdalla;;;
2013-6;1.2.2013;Myllypuron voimalatontin asuntoalueen liikenteen ohjaussuunnitelma;;;
2013-12;22.2.2013;Töölönlahden pysäköintilaitosten sisäänajo-opastus;HEL 2012-008263;6167-3;
2013-14;22.2.2013;Aurorankun ja Ainonkadun liikenteen ohjaussuunnitelma;HEL 2013-000629;6169-3;
2013-13;22.2.2013;Liikennejärjestelyt Abraham Wetterin tiellä;HEL 2013-002098;6166-2;
2013-11;22.2.2013;Nopeusrajoituksen alentaminen Kaivonkatsojantiellä ja Kallvikintiellä;HEL 2013-002287;6173-3;
2013-19;1.3.2013;Merikadun liikennejärjestelyt Armfeltintien risteyksessä;HEL 2013-001920;6175-4;
2013-20;1.3.2013;Pysäköintijärjestelyt Teollisuusneuoksenkadulla;HEL 2013-002664;Teollisuusneuvoksenkatu;
2013-21;1.3.2013;Linja-autojen pysäkin poistaminen Mannerheimintie 20 edustalta;HEL 2013-002740;Mannerheimintie ;
2013-16;1.3.2013;Leiviskätie 4 edustan pysäköintipaikan aikarajoituksen muuttaminen;;;
2013-17;1.3.2013;Ehrenströmintien näköalapikan pysäköintikielto;;;
2013-18;1.3.2013;Sähköautojen latauspaikan Luutnantinaukiolla;;;
2013-22;1.3.2013;Fredrikinkdun ajokieltojärjestelyt;;;
2013-24;8.3.2013;Pysäköintijärjestelyjen tarkistaminen Aleksanterinkatu 3 edustalla ja Pohjoisesplanadi 11-13 edustalla;HEL 2012-017312;6177-4;
2013-25;8.3.2013;Matkailuliikenteen tilapäiset pysäkkijärjestelyt Senaatintorin ympäristössä;HEL 2013-003201;6178-3;
2013-29;22.3.2013;Lapsista varoittaminen Malminkadulla, Kansakoulukadulla ja Fredrikinkadulla;HEL 2013-000871;Malminkatu, Kansakoulukatu ja Fredrikinkatu;
2013-27;22.3.2013;Siilitien ja Muuntajankadun liikenteen ohjaussuunnitelma;HEL 2013-002131;6165-2;
2013-30;22.3.2013;Pysäköintijärjestelyt Erottajankatu 15-19 edustalla;HEL 2013-003513;6181-4;
2013-28;22.3.2013;Kutomotien liikenteen ohjaussuunnitelma välillä Purotie Kutomokuja;;;
2013-33;12.4.2013;Pysäköintijärjestelyt Kurkimäentiellä;HEL 2013-000913;Kurkimäentie;
2013-35;12.4.2013;Suursuonlaidan pysäköintikielto;HEL 2013-002330;Suursuonlaita;
2013-32;12.4.2013;Mäkelänkadun ja Koskelantien liittymän liikenteen ohjaussuunnitelma;HEL 2013-004586;6183-7;
2013-36;12.4.2013;Ramsinranta III liikenteen ohjaussuunnitelma;HEL 2013-004626;6184-7;
2013-34;12.4.2013;Kurkimäentien liikennejärjestelyt välillä Kontulantie Karpalotie;HEL 2013-004630;6187-4;
2013-37;12.4.2013;Tonttuvuoren alueen pysäköintikielto;HEL 2013-004880;Villinginsalmenpolku, Poikasaartentie;
2013-40;19.4.2013;Pelimanninkuja 1 edustan pysäköintipaikan poisto;HEL 2013-004963;Pelimanninkuja ;
2013-39;19.4.2013;Polkuptyörätelineiden asettaminen Pohjoisesplanadi 41 edustalle;;;
2013-51;26.4.2013;Vaasankadun kävelykatukokeilu;HEL 2013-003223;6190-7;
2013-45;26.4.2013;Runeberginkadun pysäköintijärjestelyt Sammonpuistikon edustalla;HEL 2013-005467;6189-3;
2013-50;26.4.2013;Matkailuliikenteen pysäkki Abrahaminkatu 5-1 edustalle ;HEL 2013-005470;Abrahaminkatu ;
2013-42;26.4.2013;Pysäköintijärjestelyt Päivärinnankatu 1 ja 3 edustalla;HEL 2013-005471;6188-4;
2013-48;26.4.2013;Vanhan Tapanilantien pysäköintijärjestelyt;HEL 2013-005620;Vanha Tapanilantie ;
2013-44;26.4.2013;Linja-auton pysäkki Unioninkatu 21-19 edustalle ja pysäköinnin kieltäminen Arkadiankatu 24 kohdalla;HEL 2013-005623;Arkadiankatu, Unioninkatu;
2013-43;26.4.2013;Pysäköintijärjestelyt Fredrikinkatu 81 kohdalla;HEL 2013-005624;6191-4;
2013-46;26.4.2013;Nopeusrajoituksen alentaminen Vuotiellä;HEL 2013-005761;Vuotie;
2013-47;26.4.2013;Tuulilasintien ja Rattitien pysäköintijärjestelyt;;;
2013-49;26.4.2013;Pysäköinnin kieltäminen Arkadiankatu 15 edustalla;;;
2013-53;17.5.2013;Liikennejärjestelyt Pursimiehenkatu 31-29 kohdalla;HEL 2013-006085;6192-4;
2013-55;17.5.2013;Kumpulan länsiosan liikenteen ohjaussuunnitelma;HEL 2013-006472;6197-0;
2013-54;17.5.2013;Raumantien liikenteen ohjaussuunnitelma Munkkivuoren ostoskekuksen kohdalla;HEL 2013-006614;6198-3;
2013-56;17.5.2013;Kirjoitusvirheen korjaus Kurkimäentien liikennejärjestelyjä välillä Kontulöantie Karpalotie koskevaan päätökseen;;;
2013-63;24.5.2013;Kuninkaantammen etelärinteen liikennesuunnitelma;HEL 2012-012499;6194-33;
2013-62;24.5.2013;Honkasuon itäosan liikenteen ohjaussuunnitelma;HEL 2013-004062;6182-2;
2013-61;24.5.2013;Vuosaaren pohjoisen ostoskeskuksen ympäristön liikennesuunnitelma;HEL 2013-007056;6202-3;
2013-60;24.5.2013;Tapulikaupungintien ja Tikkuritien kiertoliittymän liikennesuunnitelma;HEL 2013-007086;6203-3;
2013-59;24.5.2013;Kunnantien LP-alueen pysäköintijärjestelyt;HEL 2013-007159;Kunnantie;
2013-58;24.5.2013;Tullivuorentien eteläpuolisen alueen liikennesuunitelma;HEL 2013-007160;6204-1;
2013-66;31.5.2013;Pysäköintijärjestelyt Kalevankatu 29 ja 31 kohdalla;HEL 2012-017079;6206-4;
2013-68;31.5.2013;Pysäköinti- ja taksiasemajärjestelyt Myllypurontiellä;HEL 2013-007235;Myllypurontie;
2013-67;31.5.2013;Pysäköintipaikkojen merkitsemnen Trumpettitie 2 edustalle;HEL 2013-007245;Trumpettitie;
2013-65;31.5.2013;Kivirinteen liikennejärjestelyt;;;
2013-71;7.6.2013;Pysäköintijärjestelyt Poikkilaakson koulun edustalla;HEL 2013-003247;6205-4;
2013-70;7.6.2013;Notaarintien liikenteen ohjaussuunnitelma;HEL 2013-007566;6208-3;
2013-72;7.6.2013;Linja-autojen pysäköinnin rajoittaminen Eteläinen Makasiinikatu 8 vastapäätä;HEL 2013-007635;Eteläinen Makasiinikatu ;
2013-73;7.6.2013;Liikennejärjestelyt Juhannustien länsipäässä;HEL 2013-007697;Juhannustie;
2013-80;14.6.2013;Asukaspysäköintipaikkojen lisääminen Arkadiankatu 26 edustalle;HEL 2012-011242;Arkadiankatu ;
2013-85;14.6.2013;Pysäköintijärjestelyt Tuulimyllyntiellä;HEL 2013-005117;Tuulimyllyntie;
2013-81;14.6.2013;CD-paikkojen merkitseminen Unioninkatu 11 edustalle ja asukaspysäköintipaikkojen lisääminen Rahapajankatu 1 edustalle;HEL 2013-007451;Unioninkatu, Rahapajankatu ;
2013-79;14.6.2013;Pysäköinnin salliminen asukas- ja yrityspysäköintitunnukselle B/C Merikadun asukaspysäköintipaikoilla välillä Armfeltintie Wecsellintie;HEL 2013-007621;Merikatu ;
2013-75;14.6.2013;Mikkolantien eteläosan ja Torivoudinpolun liikenteen ohjaussuunnitelma;HEL 2013-007726;6210-3;
2013-82;14.6.2013;Linja-autopysäkit Arabiankadulle;HEL 2013-008283;Arabiankatu 14, Arabiankatu 2;
2013-77;14.6.2013;Kaarelan ratsastustallin huoltoajojärjestelyt;HEL 2013-008312;6211-4;
2013-78;14.6.2013;Nopeurajoituksen alentaminen Vihdintiellä;HEL 2013-008313;Vihdintie;
2013-84;14.6.2013;CD-paikkojen merkitseminen Pohjoisranta 4 edustalle ja asukaspysäköintipaikkojen lisääminen Rauhankatu 13 edustalle;HEL 2013-008315;Rauhankatu, Pohjoisranta;
2013-76;14.6.2013;Pyörätien parantaminen Sörnäisten rantatiellä välillä Lintulahdenkuja Kaikukatu;HEL 2013-008316;6196-3;
2013-83;14.6.2013;Takaniitynkujan liikenteen ohjaussuunnitelma;HEL 2013-008426;6212-3;
2013-91;19.6.2013;Pysäköintijärjestelyt Lauttasaarentie 12 ja 10 edustalla;HEL 2013-007188;Lauttasaarentie ;
2013-90;19.6.2013;CD-paikkojen merkitseminen Itäinen Puistotie 9 edustalle ja lippuautomaattipaikkojen merkitseminen Vilhonkatu 5 ja 7 edustalle;HEL 2013-008367;Vilhonkatu, Itäinen Puistotie ;
2013-89;19.6.2013;Töölöntorin tilapäinen liikenteen ohjaussuunnitelma;HEL 2013-008471;6213-34;
2013-92;19.6.2013;Kuorma-autojen ja linja-autojen pysäköinnin kieltäminen Notkotiellä;HEL 2013-008501;Notkotie;
2013-88;19.6.2013;Keski-Vuosaaren liikenteen ohjaussuunnitelma;HEL 2013-008506;6214-7;
2013-87;19.6.2013;Kuorma-autolla ohittamisen kieltäminen Vuosaare sillalla;HEL 2013-008551;Vuosaaren silta;
2013-96;16.8.2013;Dagmarinkadun pysäköintijärjestelyt välillä Freesenkatu Fredrikinkatu;HEL 2013-007527;6216-4;
2013-95;16.8.2013;Nervanderinkatu 1 kohdan pysäköintijärjestelyt;HEL 2013-007713;6217-4;
2013-94;16.8.2013;Pysäkkijärjestelyt Penttiläntiellä;HEL 2013-010479;Penttiläntie;
2013-97;16.8.2013;Porslahdedentien pohjoisosan liikenteenohjaussuunnitelma;;;
2013-100;23.8.2013;Huopalahdentien itäreunan pysäkkijärjestelyt Turunväylän liittymän läheisyydessä;HEL 2012-011036;6223-4;
2013-101;23.8.2013;Läkkisepäntien pysäköintijärjestelyt Asesepänkujan liittymän itäpuolella;HEL 2013-008782;6221-3;
2013-99;23.8.2013;Pysäköinnin kieltäminen Palsamipolulla;HEL 2013-009469;Palsamipolku;
2013-102;23.8.2013;Hidaste- ja pysäkkijärjetelyt Humikkalantiellä ja Klamintiellä;;;
2013-107;30.8.2013;Mechelininkadun ja Rautatiekadun liittymän risteysruudukko;HEL 2012-012565;Mechelininkadun risteysruudukko;
2013-105;30.8.2013;Vuorikadun liikenteen ohjaussuunnitelma;HEL 2013-010824;6222-3;
2013-106;30.8.2013;Lastenkodinkadun ajoesteet;HEL 2013-010849;Lastenkodinkadun ajoesteet;
2013-109;30.8.2013;Invalidien ajoneuvojen pysäköintipaikan merkitseminen Yliopistonkatu 2 edustalle;HEL 2013-010925;Yliopistonkatu ;
2013-104;30.8.2013;Nordenskiöldinkadun liikenteen ohjaussuunnitelma;HEL 2013-011072;6220-44;
2013-108;30.8.2013;Vuosaaren keskustan ja Omenamäen liikenteen ohjaussuunnitelma;HEL 2013-011097;6224-7;
