Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2019-6;18.1.2019;Kaupunkipyöräjärjestelmän laajentuminen esikaupunkialueille;HEL 2019-000325;6916, 6917, 6918, 6919;https://paatokset.hel.fi/fi/asia/hel-2019-000325
2019-3;18.1.2019;Bulevardi 28-24 edustan pysäköintijärjestelyt;HEL 2019-000435;6921;https://paatokset.hel.fi/fi/asia/hel-2019-000435
2019-9;8.2.2019;"

Kuorma-autojen pysäköintipaikan poistaminen Närekujalta ";HEL 2018-011221;Närekuja 3;https://paatokset.hel.fi/fi/asia/hel-2018-011221
2019-8;8.2.2019;Madetojankujan pysäköintijärjestelyt;HEL 2018-011224;Madetojankuja 2;https://paatokset.hel.fi/fi/asia/hel-2018-011224
2019-11;22.2.2019;Mikonkadun merkitseminen kävelykaduksi välillä Aleksanterinkatu Pohjoisesplanadi;HEL 2019-001771;Mikonkatu 1 - 3;https://paatokset.hel.fi/fi/asia/hel-2019-001771
2019-12;22.2.2019;Vähä-Meilahden pysäköintijärjestelyt ;HEL 2019-001997;6920;https://paatokset.hel.fi/fi/asia/hel-2019-001997
2019-10;22.2.2019;Hidasteen poistaminen Riskutieltä;HEL 2019-002056;Riskutie 22;https://paatokset.hel.fi/fi/asia/hel-2019-002056
2019-14;1.3.2019;Taksiaseman merkitseminen Töysänkadulle ja asukaspysäköintipaikkojen lisääminen Hollolantielle;HEL 2019-002157;Töysänkatu;https://paatokset.hel.fi/fi/asia/hel-2019-002157
2019-13;1.3.2019;Sähköautojen latauspisteiden merkitseminen Esterinportilla ja Paavo Nurmen kujalla;HEL 2019-002283;6929, 6930;https://paatokset.hel.fi/fi/asia/hel-2019-002283
2019-15;8.3.2019;Violanpuiston ympäristön väliaikaiset liikennejärjestelyt ;HEL 2019-002717;6953;https://paatokset.hel.fi/fi/asia/hel-2019-002717
2019-18;15.3.2019;Fenixinrinteen ajoestetolpat;HEL 2018-013208;6955;https://paatokset.hel.fi/fi/asia/hel-2018-013208
2019-19;15.3.2019;Pysäköinnin kieltäminen Konepajankujalla;HEL 2019-002258;Konepajankuja;https://paatokset.hel.fi/fi/asia/hel-2019-002258
2019-17;15.3.2019;Polkupyörällä ja mopolla ajon kieltäminen Lammassaaren pitkospuilla;HEL 2019-002587;Lammassaaren pitkospuut;https://paatokset.hel.fi/fi/asia/hel-2019-002587
2019-20;15.3.2019;Pysäköinnin kieltäminen Eläinlääkärinkatu 4 edustalla;HEL 2019-002687;Eläinlääkärinkatu 4;https://paatokset.hel.fi/fi/asia/hel-2019-002687
2019-22;15.3.2019;"Pysäköinnin kieltäminen Liisankatu 12 edustalla	";HEL 2019-002692;Liisankatu 12;https://paatokset.hel.fi/fi/asia/hel-2019-002692
2019-23;15.3.2019;"Pysäköinnin kieltäminen Lutherinkadulla Temppeliaukion kirkon edustalla	";HEL 2019-002700;Lutherinkatu;https://paatokset.hel.fi/fi/asia/hel-2019-002700
2019-21;15.3.2019;Lastausruudun merkitseminen Porthaninkatu 5 edustalle;HEL 2019-002714;Porthaninkatu 5;https://paatokset.hel.fi/fi/asia/hel-2019-002714
2019-28;5.4.2019;Lauttasaarenmäen ympäristön liikenteen ohjaussuunnitelma;HEL 2019-003363;6956;https://paatokset.hel.fi/fi/asia/hel-2019-003363
2019-27;5.4.2019;Pysäköinnin kieltäminen Munkkiniemenranta 1 edustalla;HEL 2019-003570;Munkkiniemenranta;https://paatokset.hel.fi/fi/asia/hel-2019-003570
2019-26;5.4.2019;Pysäköinnin kieltäminen Selim Lindqvistin kujalla;HEL 2019-003612;Selim Lindqvistin kuja;https://paatokset.hel.fi/fi/asia/hel-2019-003612
2019-29;5.4.2019;Pyörätelineiden sijoittaminen Kruununhakaan ja Kluuviin;HEL 2019-003744;6957;https://paatokset.hel.fi/fi/asia/hel-2019-003744
2019-25;5.4.2019;Vapun aikaiset liikennejärjestelyt ydinkeskustassa;HEL 2019-004032;6958;https://paatokset.hel.fi/fi/asia/hel-2019-004032
2019-32;26.4.2019;Liikennejärjestelyt Kasarmikadulla, Eteläisellä Makasiinikadulla, Fabianinkadulla ja Kaartinkujalla;HEL 2019-002022;6931;https://paatokset.hel.fi/fi/asia/hel-2019-002022
2019-31;26.4.2019;Kaistajärjestelyjen tarkistaminen Ulvilantiellä Raumantien risteyksessä;HEL 2019-003756;Ulvilantie;https://paatokset.hel.fi/fi/asia/hel-2019-003756
2019-33;3.5.2019;Snellmaninkadun ja Liisankadun liikenteen ohjaussuunnitelma;HEL 2019-004900;6961;https://paatokset.hel.fi/fi/asia/hel-2019-004900
2019-34;10.5.2019;Vanhan Porvoontien, Kalkkivuorentien ja Tatin risteyksen liikenteen ohjaussuunnitelma;HEL 2018-008459;6879;https://paatokset.hel.fi/fi/asia/hel-2018-008459
