MerkkiKoodi;Kuvaus
E27;Kävelykatu päättyy
E28;Pyöräkatu
E29;Pyöräkatu päättyy
E30;Ajokaistojen yhdistyminen
F1.1;Suunnistustaulu
F1.2;Suunnistustaulu
F1.3;Suunnistustaulu
F2.1;Suunnistustaulu
F2.2;Suunnistustaulu
F2.3;Suunnistustaulu
F3;Ajokaistakohtainen suunnistustaulu
F4.1;Kiertotien suunnistustaulu
F4.2;Kiertotien suunnistustaulu
F5;Kiertotieopastus
F6;Ajoreittiopastus
F7.1;Ajokaistaopastus
F7.2;Ajokaistaopastus
F7.3;Ajokaistaopastus
F7.4;Ajokaistaopastus
F7.5;Ajokaistaopastus
F7.6;Ajokaistaopastus
F8.1;Ajokaistan päättyminen
F8.2;Ajokaistan päättyminen
F9;Viitoituksen koontimerkki
F10;Ajokaistan yläpuolinen viitta
F11;Ajokaistan yläpuolinen viitta
F12;Ajokaistan yläpuolinen erkanemisviitta
F13;Tienviitta
F14;Erkanemisviitta
F15;Kiertotien viitta
F16;Osoiteviitta
F17;Osoiteviitan ennakkomerkki
F18.1;Liityntäpysäköintiviitta
F18.2;Liityntäpysäköintiviitta
F18.3;Liityntäpysäköintiviitta
F18.4;Liityntäpysäköintiviitta
F18.5;Liityntäpysäköintiviitta
F19;Jalankulun viitta
F20.1;Pyöräilyn viitta
F20.2;Pyöräilyn viitta
F21.1;Pyöräilyn suunnistustaulu
F21.2;Pyöräilyn suunnistustaulu
F22;Pyöräilyn etäisyystaulu
F23;Pyöräilyn paikannimi
F24.1;Umpitie
F24.2;Umpitie
6524;Umpitiet, vasen haara
F24.3;Umpitie
6513;Umpitie, pyörätie, oikea haara
F25;Enimmäisnopeussuositus
F26;Etäisyystaulu
F27.1;Paikannimi
F27.2;Paikannimi
F28;Kansainvälisen pääliikenneväylän numero
F29;Valtatien numero
F30;Kantatien numero
F31;Seututien numero
F32;Muun maantien numero
F33;Kehätien numero
F34;Eritasoliittymän numero
F35;Opastus numeron tarkoittamalle tielle
F36;Varareitti
F37;Moottoritien tunnus
F38;Moottoriliikennetien tunnus
F39;Lentoasema
F40;Autolautta
F41;Matkustajasatama
F42;Tavarasatama
F43;Tavaraterminaali
F44;Teollisuusalue tai yritysalue
F45;Vähittäiskaupan suuryksikkö
F46.1;Pysäköinti
F46.2;Pysäköinti
F47;Rautatieasema
F48;Linja-autoasema
F49;Keskusta
F50;Tietylle ajoneuvolle tarkoitettu reitti
F51;Vaarallisten aineiden kuljetukselle tarkoitettu reitti
F52;Jalankulkijalle tarkoitettu reitti
F53;Esteetön reitti
F54.1;Reitti, jolla on portaat
F54.2;Reitti, jolla on portaat
F55.1;Reitti ilman portaita
F55.2;Reitti ilman portaita
F55.3;Reitti ilman portaita
F55.4;Reitti ilman portaita
F56.1;Hätäuloskäynti
F56.2;Hätäuloskäynti
F57.1;Poistumisreitti
F57.2;Poistumisreitti
G1;Palvelukohteen opastustaulu
G2;Palvelukohteen opastustaulu
G3;Palvelukohteen erkanemisviitta
G4;Palvelukohteen osoiteviitta
G5;Palvelukohteen osoiteviitan ennakkomerkki
G6;Radioaseman taajuus
G7;Opastuspiste
G8;Opastustoimisto
G9;Ensiapu
G10;Autokorjaamo
G11.1;Polttoaineen jakelu, Bensiini tai etanoli
G11.2;Polttoaineen jakelu, paineistettu kaasu
G11.3;Polttoaineen jakelu, sähkö
G11.4;Polttoaineen jakelu, vety
G12;Hotelli tai motelli
G13;Ruokailupaikka
G14;Kahvila tai pikaruokapaikka
G15;Käymälä
G16;Retkeilymaja
G17;Leirintäalue
G18;Matkailuajoneuvoalue
G19;Levähdysalue
G20;Ulkoilualue
G21;Hätäpuhelin
G22;Sammutin
G23;Museo tai historiallinen rakennus
G24;Maailmanperintökohde
G25;Luontokohde
G26;Näköalapaikka
G27;Eläintarha tai –puisto
G28;Muu nähtävyys
G29;Uintipaikka
G30;Kalastuspaikka
G31;Hiihtohissi
G32;Maastohiihtokeskus
G33;Golfkenttä
G34;Huvi- ja teemapuisto
G35;Mökkimajoitus
G36;Aamiaismajoitus
G37;Suoramyyntipaikka
G38;Käsityöpaja
G39;Kotieläinpiha
G40;Ratsastuspaikka
G41.1;Matkailutie
G41.2;Matkailutie
G42;Tilapäinen opastusmerkki
H1;Kohde risteävässä suunnassa
H2.1;Kohde nuolen suunnassa
H2.2;Kohde nuolen suunnassa
H2.3;Kohde nuolen suunnassa
H3;Vaikutusalueen pituus
H4;Etäisyys kohteeseen
H5;Etäisyys pakolliseen pysäyttämiseen
H6;Vapaa leveys
H7;Vapaa korkeus
H8;Sähköjohdon korkeus
H9.1;Vaikutusalue molempiin suuntiin
H9.2;Vaikutusalue molempiin suuntiin
